"Step","Feb12_03-32-08_PPO - Reward / Total reward (mean)","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MIN","Feb12_03-32-08_PPO - Reward / Total reward (mean)__MAX"
"13","-1.7935661","-1.7935661","-1.7935661"
"33","-1.1276736","-1.1276736","-1.1276736"
"50","-1.6804583","-1.6804583","-1.6804583"
"70","-2.1874068","-2.1874068","-2.1874068"
"87","-2.5462863","-2.5462863","-2.5462863"
"107","-2.9283185","-2.9283185","-2.9283185"
"127","-2.5351334","-2.5351334","-2.5351334"
"144","-3.2833002","-3.2833002","-3.2833002"
"164","-4.0432243","-4.0432243","-4.0432243"
"184","-3.9008634","-3.9008634","-3.9008634"
"201","-4.3371344","-4.3371344","-4.3371344"
"221","-4.3166223","-4.3166223","-4.3166223"
"241","-4.181165","-4.181165","-4.181165"
"258","-4.5482492","-4.5482492","-4.5482492"
"270","-2.1280158","-2.1280158","-2.1280158"
"298","-4.8453884","-4.8453884","-4.8453884"
"315","-4.771169","-4.771169","-4.771169"
"335","-3.9468029","-3.9468029","-3.9468029"
"355","-4.743946","-4.743946","-4.743946"
"364","-1.3937219","-1.3937219","-1.3937219"
"384","-2.0253932","-2.0253932","-2.0253932"
"412","-1.6738198","-1.6738198","-1.6738198"
"429","-2.2444956","-2.2444956","-2.2444956"
"449","-1.7531953","-1.7531953","-1.7531953"
"469","-3.1968641","-3.1968641","-3.1968641"
"486","-1.8716663","-1.8716663","-1.8716663"
"506","-2.3594105","-2.3594105","-2.3594105"
"526","-1.687126","-1.687126","-1.687126"
"543","-3.4921353","-3.4921353","-3.4921353"
"555","-2.680345","-2.680345","-2.680345"
"583","-2.3545272","-2.3545272","-2.3545272"
"600","-1.9324156","-1.9324156","-1.9324156"
"620","-1.8802246","-1.8802246","-1.8802246"
"640","-1.9133171","-1.9133171","-1.9133171"
"657","-3.132267","-3.132267","-3.132267"
"669","-2.4020083","-2.4020083","-2.4020083"
"689","-4.805088","-4.805088","-4.805088"
"714","-2.7455108","-2.7455108","-2.7455108"
"734","-1.8050132","-1.8050132","-1.8050132"
"754","-3.7305267","-3.7305267","-3.7305267"
"763","-1.5382235","-1.5382235","-1.5382235"
"791","-3.0773466","-3.0773466","-3.0773466"
"803","-3.433349","-3.433349","-3.433349"
"828","-2.5732431","-2.5732431","-2.5732431"
"840","-2.852094","-2.852094","-2.852094"
"868","-2.2655811","-2.2655811","-2.2655811"
"877","-2.6563337","-2.6563337","-2.6563337"
"897","-2.5992358","-2.5992358","-2.5992358"
"925","-1.8251392","-1.8251392","-1.8251392"
"942","-1.6847714","-1.6847714","-1.6847714"
"962","-2.543436","-2.543436","-2.543436"
"982","-1.222972","-1.222972","-1.222972"
"999","-2.6683908","-2.6683908","-2.6683908"
"1019","-1.337373","-1.337373","-1.337373"
"1039","-2.3006709","-2.3006709","-2.3006709"
"1056","-2.4826145","-2.4826145","-2.4826145"
"1076","-2.4760914","-2.4760914","-2.4760914"
"1096","-2.116692","-2.116692","-2.116692"
"1113","-3.1681082","-3.1681082","-3.1681082"
"1133","-3.321804","-3.321804","-3.321804"
"1153","-2.3293624","-2.3293624","-2.3293624"
"1170","-2.230918","-2.230918","-2.230918"
"1190","-2.8872397","-2.8872397","-2.8872397"
"1210","-2.412876","-2.412876","-2.412876"
"1219","-3.0014637","-3.0014637","-3.0014637"
"1247","-2.0378282","-2.0378282","-2.0378282"
"1259","-2.628137","-2.628137","-2.628137"
"1284","-2.302767","-2.302767","-2.302767"
"1296","-2.4717748","-2.4717748","-2.4717748"
"1324","-2.8289337","-2.8289337","-2.8289337"
"1341","-2.4296916","-2.4296916","-2.4296916"
"1361","-2.8185616","-2.8185616","-2.8185616"
"1381","-2.5813663","-2.5813663","-2.5813663"
"1398","-2.4164977","-2.4164977","-2.4164977"
"1410","-2.4512494","-2.4512494","-2.4512494"
"1430","-2.1120744","-2.1120744","-2.1120744"
"1455","-2.2645605","-2.2645605","-2.2645605"
"1475","-1.7960755","-1.7960755","-1.7960755"
"1495","-3.166804","-3.166804","-3.166804"
"1512","-2.426943","-2.426943","-2.426943"
"1532","-2.4666715","-2.4666715","-2.4666715"
"1552","-2.2882087","-2.2882087","-2.2882087"
"1569","-2.058208","-2.058208","-2.058208"
"1589","-2.2523592","-2.2523592","-2.2523592"
"1609","-2.2910614","-2.2910614","-2.2910614"
"1626","-2.8609724","-2.8609724","-2.8609724"
"1646","-3.114395","-3.114395","-3.114395"
"1666","-2.976277","-2.976277","-2.976277"
"1683","-2.6137512","-2.6137512","-2.6137512"
"1695","-2.896443","-2.896443","-2.896443"
"1715","-2.4568172","-2.4568172","-2.4568172"
