"Step","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)__MIN","Feb14_07-51-54_PPO - Episode / Total timesteps (mean)__MAX"
"16","12.984375","12.984375","12.984375"
"33","49.64035","49.64035","49.64035"
"53","93.9233","93.9233","93.9233"
"65","127.819176","127.819176","127.819176"
"82","136.37129","136.37129","136.37129"
"102","100.41332","100.41332","100.41332"
"130","124.278145","124.278145","124.278145"
"147","115.7148","115.7148","115.7148"
"167","112.46907","112.46907","112.46907"
"179","126.34236","126.34236","126.34236"
"204","113.81077","113.81077","113.81077"
"216","125.79417","125.79417","125.79417"
"244","116.873","116.873","116.873"
"253","124.88406","124.88406","124.88406"
"273","114.64321","114.64321","114.64321"
"293","117.266464","117.266464","117.266464"
"310","118.35294","118.35294","118.35294"
"330","121.89323","121.89323","121.89323"
"358","119.13133","119.13133","119.13133"
"375","112.68875","112.68875","112.68875"
"395","107.12056","107.12056","107.12056"
"407","124.516754","124.516754","124.516754"
"432","124.96304","124.96304","124.96304"
"444","120.28365","120.28365","120.28365"
"464","118.06902","118.06902","118.06902"
"481","136.58562","136.58562","136.58562"
"501","111.96345","111.96345","111.96345"
"521","119.94935","119.94935","119.94935"
"538","125.81616","125.81616","125.81616"
"566","109.7339","109.7339","109.7339"
"578","123.19852","123.19852","123.19852"
"595","129.3264","129.3264","129.3264"
"615","127.25362","127.25362","127.25362"
"635","125.12274","125.12274","125.12274"
"652","123.72709","123.72709","123.72709"
"672","181.88197","181.88197","181.88197"
"700","112.36134","112.36134","112.36134"
"709","127.02886","127.02886","127.02886"
"729","109.45354","109.45354","109.45354"
"757","117.02337","117.02337","117.02337"
"774","121.69097","121.69097","121.69097"
"786","126.81068","126.81068","126.81068"
"806","111.56632","111.56632","111.56632"
"831","139.15227","139.15227","139.15227"
"843","116.837585","116.837585","116.837585"
"863","115.78379","115.78379","115.78379"
"880","120.58558","120.58558","120.58558"
"900","116.27624","116.27624","116.27624"
"920","121.83755","121.83755","121.83755"
"945","117.33812","117.33812","117.33812"
"957","133.90106","133.90106","133.90106"
"985","114.23204","114.23204","114.23204"
"994","125.60185","125.60185","125.60185"
"1022","109.87101","109.87101","109.87101"
"1042","107.979836","107.979836","107.979836"
"1051","116.05126","116.05126","116.05126"
"1079","116.581856","116.581856","116.581856"
"1091","115.26059","115.26059","115.26059"
"1108","120.82254","120.82254","120.82254"
"1128","122.083534","122.083534","122.083534"
"1156","103.39701","103.39701","103.39701"
"1173","112.752945","112.752945","112.752945"
"1193","110.32297","110.32297","110.32297"
"1213","122.245766","122.245766","122.245766"
"1222","112.286964","112.286964","112.286964"
"1250","117.377075","117.377075","117.377075"
"1262","110.61196","110.61196","110.61196"
"1287","109.41428","109.41428","109.41428"
"1307","114.695465","114.695465","114.695465"
"1319","108.392204","108.392204","108.392204"
"1336","108.91939","108.91939","108.91939"
"1364","109.2799","109.2799","109.2799"
"1376","106.89231","106.89231","106.89231"
"1393","115.76949","115.76949","115.76949"
"1413","121.25132","121.25132","121.25132"
"1441","112.51046","112.51046","112.51046"
"1458","112.89966","112.89966","112.89966"
"1470","116.1737","116.1737","116.1737"
"1490","121.81318","121.81318","121.81318"
"1507","121.99227","121.99227","121.99227"
"1527","110.57699","110.57699","110.57699"
"1547","116.86268","116.86268","116.86268"
"1572","112.326004","112.326004","112.326004"
"1584","122.349335","122.349335","122.349335"
"1604","111.91815","111.91815","111.91815"
"1629","114.762695","114.762695","114.762695"
"1641","117.182106","117.182106","117.182106"
"1661","109.75303","109.75303","109.75303"
"1678","118.13144","118.13144","118.13144"
"1706","104.435074","104.435074","104.435074"
"1718","115.93574","115.93574","115.93574"
"1735","114.71556","114.71556","114.71556"
"1763","115.93515","115.93515","115.93515"
"1775","128.40459","128.40459","128.40459"
"1792","125.81354","125.81354","125.81354"
"1820","110.89187","110.89187","110.89187"
"1832","116.37366","116.37366","116.37366"
"1849","113.71064","113.71064","113.71064"
"1869","115.463806","115.463806","115.463806"
"1889","118.57981","118.57981","118.57981"
"1906","122.83002","122.83002","122.83002"
"1934","117.422264","117.422264","117.422264"
"1946","161.83337","161.83337","161.83337"
"1963","117.84568","117.84568","117.84568"
"1983","109.58321","109.58321","109.58321"
"2003","97.122795","97.122795","97.122795"
"2028","114.61181","114.61181","114.61181"
"2040","128.49051","128.49051","128.49051"
"2060","106.48166","106.48166","106.48166"
