"Step","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb26_10-47-04_trpo_rover_TRPO - Loss / Policy loss__MAX"
"34","3.973643e-9","3.973643e-9","3.973643e-9"
"55","-2.5828681e-8","-2.5828681e-8","-2.5828681e-8"
"93","9.934108e-9","9.934108e-9","9.934108e-9"
"114","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"152","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"173","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"211","9.934108e-9","9.934108e-9","9.934108e-9"
"232","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"270","-2.483527e-8","-2.483527e-8","-2.483527e-8"
"291","9.934108e-9","9.934108e-9","9.934108e-9"
"329","-2.1855037e-8","-2.1855037e-8","-2.1855037e-8"
"350","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"388","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"409","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"447","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"468","-2.7815503e-8","-2.7815503e-8","-2.7815503e-8"
"506","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"527","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"565","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"586","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"624","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"645","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"683","0","0","0"
"704","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"742","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"763","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"801","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"822","8.940697e-9","8.940697e-9","8.940697e-9"
"860","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"881","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"919","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"940","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"978","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"999","0","0","0"
"1037","0","0","0"
"1058","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"1096","0","0","0"
"1117","0","0","0"
"1155","7.947286e-9","7.947286e-9","7.947286e-9"
"1176","9.934108e-9","9.934108e-9","9.934108e-9"
"1214","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"1235","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1273","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1294","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1332","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1353","-3.576279e-8","-3.576279e-8","-3.576279e-8"
