"Step","Feb25_18-22-37_trpo_rover_TRPO - Loss / Value loss","Feb25_18-22-37_trpo_rover_TRPO - Loss / Value loss__MIN","Feb25_18-22-37_trpo_rover_TRPO - Loss / Value loss__MAX"
"35","0.021249231","0.021249231","0.021249231"
"56","0.022489317","0.022489317","0.022489317"
"94","0.019335456","0.019335456","0.019335456"
"115","0.015987689","0.015987689","0.015987689"
"153","0.016000729","0.016000729","0.016000729"
"174","0.013680758","0.013680758","0.013680758"
"212","0.01842612","0.01842612","0.01842612"
"233","0.013563229","0.013563229","0.013563229"
"271","0.013859084","0.013859084","0.013859084"
"292","0.014884642","0.014884642","0.014884642"
"330","0.019529529","0.019529529","0.019529529"
"351","0.019317824","0.019317824","0.019317824"
"389","0.025013112","0.025013112","0.025013112"
"410","0.019632421","0.019632421","0.019632421"
"448","0.019462507","0.019462507","0.019462507"
"469","0.014192232","0.014192232","0.014192232"
"507","0.01796645","0.01796645","0.01796645"
"528","0.01919607","0.01919607","0.01919607"
"566","0.021510648","0.021510648","0.021510648"
"587","0.015484935","0.015484935","0.015484935"
"625","0.012980131","0.012980131","0.012980131"
"646","0.019237548","0.019237548","0.019237548"
"684","0.015798584","0.015798584","0.015798584"
"705","0.016192047","0.016192047","0.016192047"
"743","0.022226762","0.022226762","0.022226762"
"764","0.018145084","0.018145084","0.018145084"
"802","0.01915469","0.01915469","0.01915469"
"823","0.020383688","0.020383688","0.020383688"
"861","0.021600485","0.021600485","0.021600485"
"882","0.015449153","0.015449153","0.015449153"
"920","0.015106078","0.015106078","0.015106078"
"941","0.020291386","0.020291386","0.020291386"
"979","0.018942088","0.018942088","0.018942088"
"1000","0.018507555","0.018507555","0.018507555"
"1038","0.014219921","0.014219921","0.014219921"
"1059","0.013906266","0.013906266","0.013906266"
"1097","0.018760156","0.018760156","0.018760156"
"1118","0.018098535","0.018098535","0.018098535"
"1156","0.015591258","0.015591258","0.015591258"
"1177","0.015658394","0.015658394","0.015658394"
"1215","0.021290934","0.021290934","0.021290934"
"1236","0.017971398","0.017971398","0.017971398"
"1274","0.018717958","0.018717958","0.018717958"
"1295","0.018943956","0.018943956","0.018943956"
"1333","0.018204255","0.018204255","0.018204255"
"1354","0.02038057","0.02038057","0.02038057"
"1392","0.017442027","0.017442027","0.017442027"
"1413","0.020566547","0.020566547","0.020566547"
"1451","0.017264972","0.017264972","0.017264972"
"1472","0.01371569","0.01371569","0.01371569"
"1510","0.015457754","0.015457754","0.015457754"
"1531","0.014274834","0.014274834","0.014274834"
"1569","0.022707954","0.022707954","0.022707954"
"1590","0.016858036","0.016858036","0.016858036"
"1628","0.019703165","0.019703165","0.019703165"
"1649","0.018785857","0.018785857","0.018785857"
"1687","0.01810344","0.01810344","0.01810344"
"1708","0.014549253","0.014549253","0.014549253"
"1746","0.019879524","0.019879524","0.019879524"
"1767","0.020626945","0.020626945","0.020626945"
"1805","0.01825368","0.01825368","0.01825368"
"1826","0.018941514","0.018941514","0.018941514"
"1864","0.020360194","0.020360194","0.020360194"
"1885","0.016715387","0.016715387","0.016715387"
"1923","0.014713154","0.014713154","0.014713154"
"1944","0.015520381","0.015520381","0.015520381"
"1982","0.014347128","0.014347128","0.014347128"
"2003","0.012880989","0.012880989","0.012880989"
"2041","0.017686462","0.017686462","0.017686462"
"2062","0.02047141","0.02047141","0.02047141"
"2100","0.021088935","0.021088935","0.021088935"
"2121","0.017310366","0.017310366","0.017310366"
"2159","0.019635437","0.019635437","0.019635437"
"2180","0.01565054","0.01565054","0.01565054"
"2218","0.019966964","0.019966964","0.019966964"
"2239","0.019631892","0.019631892","0.019631892"
"2277","0.015658464","0.015658464","0.015658464"
"2298","0.014746255","0.014746255","0.014746255"
"2336","0.019822413","0.019822413","0.019822413"
"2357","0.0171711","0.0171711","0.0171711"
"2395","0.017918713","0.017918713","0.017918713"
"2416","0.01889845","0.01889845","0.01889845"
"2454","0.019490195","0.019490195","0.019490195"
"2475","0.015254377","0.015254377","0.015254377"
"2513","0.015769228","0.015769228","0.015769228"
"2534","0.012730713","0.012730713","0.012730713"
"2572","0.013538471","0.013538471","0.013538471"
"2593","0.01483292","0.01483292","0.01483292"
"2631","0.011595088","0.011595088","0.011595088"
"2652","0.011891315","0.011891315","0.011891315"
"2690","0.019519577","0.019519577","0.019519577"
"2711","0.018708937","0.018708937","0.018708937"
"2749","0.018081691","0.018081691","0.018081691"
"2770","0.018952481","0.018952481","0.018952481"
"2808","0.01484776","0.01484776","0.01484776"
"2829","0.019338552","0.019338552","0.019338552"
"2867","0.020967012","0.020967012","0.020967012"
"2888","0.013728119","0.013728119","0.013728119"
"2926","0.016772525","0.016772525","0.016772525"
"2947","0.021028228","0.021028228","0.021028228"
"2985","0.018482525","0.018482525","0.018482525"
"3006","0.017688362","0.017688362","0.017688362"
"3044","0.018304745","0.018304745","0.018304745"
"3065","0.024401246","0.024401246","0.024401246"
"3103","0.01992514","0.01992514","0.01992514"
"3124","0.013614316","0.013614316","0.013614316"
"3162","0.017405652","0.017405652","0.017405652"
"3183","0.012404802","0.012404802","0.012404802"
"3221","0.01248568","0.01248568","0.01248568"
"3242","0.0106654195","0.0106654195","0.0106654195"
"3280","0.017340967","0.017340967","0.017340967"
"3301","0.019599576","0.019599576","0.019599576"
"3339","0.014657697","0.014657697","0.014657697"
"3360","0.01801267","0.01801267","0.01801267"
"3398","0.026190365","0.026190365","0.026190365"
"3419","0.014334957","0.014334957","0.014334957"
"3457","0.018168084","0.018168084","0.018168084"
"3478","0.017465496","0.017465496","0.017465496"
"3516","0.014678016","0.014678016","0.014678016"
"3537","0.023462946","0.023462946","0.023462946"
"3575","0.018324096","0.018324096","0.018324096"
"3596","0.014355382","0.014355382","0.014355382"
"3634","0.016998585","0.016998585","0.016998585"
"3655","0.01749564","0.01749564","0.01749564"
"3693","0.017066399","0.017066399","0.017066399"
"3714","0.01329609","0.01329609","0.01329609"
"3752","0.011801666","0.011801666","0.011801666"
"3773","0.01683161","0.01683161","0.01683161"
"3811","0.014832832","0.014832832","0.014832832"
"3832","0.015526528","0.015526528","0.015526528"
"3870","0.013308944","0.013308944","0.013308944"
"3891","0.016575724","0.016575724","0.016575724"
"3929","0.020190593","0.020190593","0.020190593"
"3950","0.01352397","0.01352397","0.01352397"
"3988","0.014223246","0.014223246","0.014223246"
"4009","0.018578736","0.018578736","0.018578736"
"4047","0.01563596","0.01563596","0.01563596"
"4068","0.016647127","0.016647127","0.016647127"
"4106","0.018893374","0.018893374","0.018893374"
"4127","0.018165957","0.018165957","0.018165957"
"4165","0.020395696","0.020395696","0.020395696"
"4186","0.024310865","0.024310865","0.024310865"
"4224","0.018355029","0.018355029","0.018355029"
"4245","0.017595934","0.017595934","0.017595934"
"4283","0.011839247","0.011839247","0.011839247"
"4304","0.020416168","0.020416168","0.020416168"
"4342","0.018946568","0.018946568","0.018946568"
"4363","0.021284409","0.021284409","0.021284409"
"4401","0.016065745","0.016065745","0.016065745"
"4422","0.017682116","0.017682116","0.017682116"
"4460","0.016633801","0.016633801","0.016633801"
"4481","0.016371679","0.016371679","0.016371679"
"4519","0.020530472","0.020530472","0.020530472"
"4540","0.01963687","0.01963687","0.01963687"
"4578","0.0182775","0.0182775","0.0182775"
"4599","0.016122742","0.016122742","0.016122742"
"4637","0.015695043","0.015695043","0.015695043"
"4658","0.016588666","0.016588666","0.016588666"
"4696","0.015264126","0.015264126","0.015264126"
"4717","0.01373283","0.01373283","0.01373283"
"4755","0.01603004","0.01603004","0.01603004"
"4776","0.011620919","0.011620919","0.011620919"
"4814","0.019956313","0.019956313","0.019956313"
"4835","0.018616358","0.018616358","0.018616358"
"4873","0.017028138","0.017028138","0.017028138"
"4894","0.017857354","0.017857354","0.017857354"
"4932","0.01867619","0.01867619","0.01867619"
"4953","0.013000415","0.013000415","0.013000415"
"4991","0.016445307","0.016445307","0.016445307"
"5012","0.01904338","0.01904338","0.01904338"
"5050","0.022161607","0.022161607","0.022161607"
"5071","0.01813512","0.01813512","0.01813512"
"5109","0.018667098","0.018667098","0.018667098"
"5130","0.017473968","0.017473968","0.017473968"
"5168","0.020524176","0.020524176","0.020524176"
"5189","0.014915953","0.014915953","0.014915953"
"5227","0.019768761","0.019768761","0.019768761"
"5248","0.01491333","0.01491333","0.01491333"
"5286","0.017575111","0.017575111","0.017575111"
"5307","0.013939436","0.013939436","0.013939436"
"5345","0.02277478","0.02277478","0.02277478"
"5366","0.021475356","0.021475356","0.021475356"
"5404","0.018750798","0.018750798","0.018750798"
"5425","0.019800244","0.019800244","0.019800244"
"5463","0.017881889","0.017881889","0.017881889"
"5484","0.012935513","0.012935513","0.012935513"
"5522","0.017586676","0.017586676","0.017586676"
"5543","0.014609539","0.014609539","0.014609539"
"5581","0.0136704305","0.0136704305","0.0136704305"
"5602","0.017840339","0.017840339","0.017840339"
"5640","0.012281352","0.012281352","0.012281352"
"5661","0.01698971","0.01698971","0.01698971"
"5699","0.016477572","0.016477572","0.016477572"
"5720","0.015448388","0.015448388","0.015448388"
"5758","0.019391373","0.019391373","0.019391373"
"5779","0.012777637","0.012777637","0.012777637"
"5817","0.019915102","0.019915102","0.019915102"
"5838","0.02320743","0.02320743","0.02320743"
"5876","0.015342626","0.015342626","0.015342626"
"5897","0.012741576","0.012741576","0.012741576"
"5935","0.010946789","0.010946789","0.010946789"
"5956","0.015982589","0.015982589","0.015982589"
"5994","0.0135405725","0.0135405725","0.0135405725"
"6015","0.013656446","0.013656446","0.013656446"
"6053","0.009993791","0.009993791","0.009993791"
"6074","0.009409441","0.009409441","0.009409441"
"6112","0.016250063","0.016250063","0.016250063"
"6133","0.01678262","0.01678262","0.01678262"
"6171","0.024297087","0.024297087","0.024297087"
"6192","0.013594796","0.013594796","0.013594796"
"6230","0.012683247","0.012683247","0.012683247"
"6251","0.012197876","0.012197876","0.012197876"
"6289","0.011535052","0.011535052","0.011535052"
"6310","0.018135395","0.018135395","0.018135395"
"6348","0.014565255","0.014565255","0.014565255"
"6369","0.011945607","0.011945607","0.011945607"
"6407","0.01972699","0.01972699","0.01972699"
"6428","0.010029575","0.010029575","0.010029575"
