"Step","Feb12_23-20-55_PPO - Loss / Policy loss","Feb12_23-20-55_PPO - Loss / Policy loss__MIN","Feb12_23-20-55_PPO - Loss / Policy loss__MAX"
"28","0","0","0"
"54","0","0","0"
"91","-0.0074193073","-0.0074193073","-0.0074193073"
"111","0","0","0"
"148","0.00032688252","0.00032688252","0.00032688252"
"168","0","0","0"
"205","-0.0010457056","-0.0010457056","-0.0010457056"
"225","0.00049797376","0.00049797376","0.00049797376"
"262","-0.0021526364","-0.0021526364","-0.0021526364"
"282","0","0","0"
"319","-0.0010065862","-0.0010065862","-0.0010065862"
"339","-0.001148473","-0.001148473","-0.001148473"
"376","0","0","0"
"396","0","0","0"
"433","0.0037233315","0.0037233315","0.0037233315"
"453","0.0010244149","0.0010244149","0.0010244149"
"490","0.0020850925","0.0020850925","0.0020850925"
"510","-0.003983673","-0.003983673","-0.003983673"
"547","0.0009116086","0.0009116086","0.0009116086"
"567","0.0016310598","0.0016310598","0.0016310598"
"604","0.003963971","0.003963971","0.003963971"
"624","0.00036467385","0.00036467385","0.00036467385"
"661","0","0","0"
"681","0","0","0"
"718","0","0","0"
"738","0.0033205235","0.0033205235","0.0033205235"
"775","-0.0019423994","-0.0019423994","-0.0019423994"
"795","-0.003779151","-0.003779151","-0.003779151"
"832","-0.0021082058","-0.0021082058","-0.0021082058"
"852","-0.006644379","-0.006644379","-0.006644379"
"889","-0.0028132834","-0.0028132834","-0.0028132834"
"909","0.0005207213","0.0005207213","0.0005207213"
"946","0.0006251397","0.0006251397","0.0006251397"
"966","0.0014714197","0.0014714197","0.0014714197"
"1003","-0.0006164341","-0.0006164341","-0.0006164341"
"1023","-0.0019691659","-0.0019691659","-0.0019691659"
"1060","-0.00093425665","-0.00093425665","-0.00093425665"
"1080","0.0015860642","0.0015860642","0.0015860642"
"1117","-0.0018861687","-0.0018861687","-0.0018861687"
"1137","-0.0030129063","-0.0030129063","-0.0030129063"
"1174","-0.0040523126","-0.0040523126","-0.0040523126"
"1194","-0.0038554918","-0.0038554918","-0.0038554918"
"1231","-0.0029852507","-0.0029852507","-0.0029852507"
"1251","-0.0003433964","-0.0003433964","-0.0003433964"
"1288","-0.0026775543","-0.0026775543","-0.0026775543"
"1308","0","0","0"
"1345","0","0","0"
"1365","-0.0026943856","-0.0026943856","-0.0026943856"
"1402","-0.0012443591","-0.0012443591","-0.0012443591"
"1422","-0.0000017272852","-0.0000017272852","-0.0000017272852"
"1459","0.00011638059","0.00011638059","0.00011638059"
"1479","0","0","0"
"1516","0","0","0"
"1536","0.00069588376","0.00069588376","0.00069588376"
"1573","-0.003610053","-0.003610053","-0.003610053"
