"Step","Feb13_10-59-31_PPO - Loss / Value loss","Feb13_10-59-31_PPO - Loss / Value loss__MIN","Feb13_10-59-31_PPO - Loss / Value loss__MAX"
"35","0","0","0"
"55","0","0","0"
"92","0","0","0"
"112","0","0","0"
"149","0.00043193626","0.00043193626","0.00043193626"
"169","0.000099381","0.000099381","0.000099381"
"206","0.00010824693","0.00010824693","0.00010824693"
"226","0","0","0"
"263","0.00015784577","0.00015784577","0.00015784577"
"283","0.00020441122","0.00020441122","0.00020441122"
"320","0.0002693545","0.0002693545","0.0002693545"
"340","0.0008244714","0.0008244714","0.0008244714"
"377","0.0006134239","0.0006134239","0.0006134239"
"397","0.00017463657","0.00017463657","0.00017463657"
"434","0.00047438077","0.00047438077","0.00047438077"
"454","0.00057675096","0.00057675096","0.00057675096"
"491","0.00042606713","0.00042606713","0.00042606713"
"511","0.0004436029","0.0004436029","0.0004436029"
"548","0.00075491675","0.00075491675","0.00075491675"
"568","0","0","0"
"605","0.00037615342","0.00037615342","0.00037615342"
"625","0.00055626524","0.00055626524","0.00055626524"
"662","0","0","0"
"682","0.00041362768","0.00041362768","0.00041362768"
"719","0.0003075594","0.0003075594","0.0003075594"
"739","0.00041038656","0.00041038656","0.00041038656"
"776","0.0007566951","0.0007566951","0.0007566951"
"796","0.00060846074","0.00060846074","0.00060846074"
"833","0.00062473834","0.00062473834","0.00062473834"
"853","0","0","0"
"890","0","0","0"
"910","0.0004886751","0.0004886751","0.0004886751"
"947","0","0","0"
"967","0.00046669933","0.00046669933","0.00046669933"
"1004","0.00024364887","0.00024364887","0.00024364887"
"1024","0.00037211852","0.00037211852","0.00037211852"
"1061","0.0005194514","0.0005194514","0.0005194514"
"1081","0.0004261833","0.0004261833","0.0004261833"
"1118","0.00022176774","0.00022176774","0.00022176774"
"1138","0.00011483694","0.00011483694","0.00011483694"
"1175","0.00018282881","0.00018282881","0.00018282881"
"1195","0.00033616513","0.00033616513","0.00033616513"
"1232","0.00041753054","0.00041753054","0.00041753054"
"1252","0.0005766214","0.0005766214","0.0005766214"
"1289","0.0004206428","0.0004206428","0.0004206428"
"1309","0.00025560014","0.00025560014","0.00025560014"
"1346","0","0","0"
"1366","0.00013703403","0.00013703403","0.00013703403"
"1403","0","0","0"
"1423","0.0004190702","0.0004190702","0.0004190702"
"1460","0.00029611017","0.00029611017","0.00029611017"
"1480","0.0002151819","0.0002151819","0.0002151819"
"1517","0","0","0"
"1537","0.00038483975","0.00038483975","0.00038483975"
"1574","0.00026023353","0.00026023353","0.00026023353"
"1594","0.00014168088","0.00014168088","0.00014168088"
"1631","0","0","0"
"1651","0","0","0"
"1688","0.00018454147","0.00018454147","0.00018454147"
"1708","0.00017203906","0.00017203906","0.00017203906"
"1745","0.00034001164","0.00034001164","0.00034001164"
"1765","0.000444437","0.000444437","0.000444437"
"1802","0.0005717827","0.0005717827","0.0005717827"
"1822","0","0","0"
"1859","0.00022465976","0.00022465976","0.00022465976"
"1879","0","0","0"
"1916","0","0","0"
"1936","0","0","0"
"1973","0.0003405754","0.0003405754","0.0003405754"
"1993","0","0","0"
"2030","0.00046865884","0.00046865884","0.00046865884"
"2050","0.00026352456","0.00026352456","0.00026352456"
"2087","0","0","0"
"2107","0","0","0"
"2144","0.00027902148","0.00027902148","0.00027902148"
"2164","0.0002101315","0.0002101315","0.0002101315"
"2201","0.00017698215","0.00017698215","0.00017698215"
"2221","0.0005337858","0.0005337858","0.0005337858"
"2258","0.0005930976","0.0005930976","0.0005930976"
"2278","0.00044963465","0.00044963465","0.00044963465"
"2315","0.00031046284","0.00031046284","0.00031046284"
"2335","0","0","0"
"2372","0.00018561432","0.00018561432","0.00018561432"
"2392","0.00044823266","0.00044823266","0.00044823266"
"2429","0.00044475019","0.00044475019","0.00044475019"
"2449","0.00039156756","0.00039156756","0.00039156756"
"2486","0","0","0"
"2506","0","0","0"
"2543","0.0009969458","0.0009969458","0.0009969458"
"2563","0.00034460405","0.00034460405","0.00034460405"
"2600","0","0","0"
"2620","0.00019557863","0.00019557863","0.00019557863"
"2657","0","0","0"
"2677","0.00011243474","0.00011243474","0.00011243474"
"2714","0.0011309942","0.0011309942","0.0011309942"
"2734","0.0009678225","0.0009678225","0.0009678225"
"2771","0.00046961824","0.00046961824","0.00046961824"
"2791","0.00015375525","0.00015375525","0.00015375525"
"2828","0","0","0"
"2848","0.00031939495","0.00031939495","0.00031939495"
"2885","0.00020786712","0.00020786712","0.00020786712"
"2905","0","0","0"
"2942","0","0","0"
"2962","0.00042959864","0.00042959864","0.00042959864"
"2999","0","0","0"
"3019","0.0006164425","0.0006164425","0.0006164425"
"3056","0.0003856633","0.0003856633","0.0003856633"
"3076","0","0","0"
"3113","0.00038558434","0.00038558434","0.00038558434"
"3133","0.00032131112","0.00032131112","0.00032131112"
"3170","0.00052565645","0.00052565645","0.00052565645"
"3190","0.0003532983","0.0003532983","0.0003532983"
"3227","0.00020982933","0.00020982933","0.00020982933"
"3247","0.00028785595","0.00028785595","0.00028785595"
"3284","0","0","0"
"3304","0.0002158514","0.0002158514","0.0002158514"
"3341","0.00011832994","0.00011832994","0.00011832994"
"3361","0.00014057093","0.00014057093","0.00014057093"
"3398","0","0","0"
"3418","0.00038472968","0.00038472968","0.00038472968"
"3455","0","0","0"
"3475","0.00026532827","0.00026532827","0.00026532827"
"3512","0","0","0"
"3532","0","0","0"
"3569","0","0","0"
"3589","0.0005571356","0.0005571356","0.0005571356"
"3626","0","0","0"
"3646","0","0","0"
"3683","0.0004683627","0.0004683627","0.0004683627"
"3703","0","0","0"
"3740","0.00020304251","0.00020304251","0.00020304251"
"3760","0","0","0"
"3797","0","0","0"
"3817","0.000037715236","0.000037715236","0.000037715236"
"3854","0.00004807372","0.00004807372","0.00004807372"
"3874","0.00058065105","0.00058065105","0.00058065105"
"3911","0.00010366742","0.00010366742","0.00010366742"
"3931","0.0001904736","0.0001904736","0.0001904736"
"3968","0","0","0"
"3988","0.00024966322","0.00024966322","0.00024966322"
"4025","0.0003689957","0.0003689957","0.0003689957"
"4045","0.0010567184","0.0010567184","0.0010567184"
"4082","0","0","0"
"4102","0.00038505212","0.00038505212","0.00038505212"
"4139","0.0002152436","0.0002152436","0.0002152436"
"4159","0.0005127669","0.0005127669","0.0005127669"
"4196","0","0","0"
"4216","0.00034269277","0.00034269277","0.00034269277"
"4253","0.00065163005","0.00065163005","0.00065163005"
"4273","0","0","0"
"4310","0","0","0"
"4330","0.000350519","0.000350519","0.000350519"
"4367","0.00033700446","0.00033700446","0.00033700446"
"4387","0","0","0"
"4424","0.0014963617","0.0014963617","0.0014963617"
"4444","0.00044400053","0.00044400053","0.00044400053"
"4481","0.00032574197","0.00032574197","0.00032574197"
"4501","0.00042651646","0.00042651646","0.00042651646"
"4538","0.0005678406","0.0005678406","0.0005678406"
"4558","0","0","0"
"4595","0.0007589","0.0007589","0.0007589"
"4615","0.00078109506","0.00078109506","0.00078109506"
"4652","0","0","0"
"4672","0","0","0"
"4709","0","0","0"
"4729","0.00076336635","0.00076336635","0.00076336635"
"4766","0.00041469987","0.00041469987","0.00041469987"
"4786","0.00046557552","0.00046557552","0.00046557552"
"4823","0.0000663428","0.0000663428","0.0000663428"
"4843","0","0","0"
"4880","0.0003663126","0.0003663126","0.0003663126"
"4900","0.0004929965","0.0004929965","0.0004929965"
"4937","0","0","0"
"4957","0.00059491245","0.00059491245","0.00059491245"
"4994","0","0","0"
"5014","0","0","0"
"5051","0.000117242445","0.000117242445","0.000117242445"
"5071","0.00017540065","0.00017540065","0.00017540065"
"5108","0.000119535245","0.000119535245","0.000119535245"
"5128","0.00017792807","0.00017792807","0.00017792807"
"5165","0.000837214","0.000837214","0.000837214"
"5185","0","0","0"
"5222","0","0","0"
"5242","0.00017235057","0.00017235057","0.00017235057"
"5279","0.00038728892","0.00038728892","0.00038728892"
"5299","0.0002676276","0.0002676276","0.0002676276"
"5336","0","0","0"
"5356","0.00024568345","0.00024568345","0.00024568345"
"5393","0.00057297596","0.00057297596","0.00057297596"
"5413","0.0006264383","0.0006264383","0.0006264383"
"5450","0.00035478675","0.00035478675","0.00035478675"
"5470","0","0","0"
"5507","0.00064494775","0.00064494775","0.00064494775"
"5527","0","0","0"
"5564","0.00041110726","0.00041110726","0.00041110726"
"5584","0.0002571081","0.0002571081","0.0002571081"
"5621","0.00018149505","0.00018149505","0.00018149505"
"5641","0.00020624278","0.00020624278","0.00020624278"
"5678","0.0007164554","0.0007164554","0.0007164554"
"5698","0.00030949267","0.00030949267","0.00030949267"
"5735","0.00024433443","0.00024433443","0.00024433443"
"5755","0.0005346585","0.0005346585","0.0005346585"
"5792","0.00017838788","0.00017838788","0.00017838788"
"5812","0.0000708665","0.0000708665","0.0000708665"
"5849","0.00012011221","0.00012011221","0.00012011221"
"5869","0.00014303156","0.00014303156","0.00014303156"
"5906","0","0","0"
"5926","0.00029039857","0.00029039857","0.00029039857"
"5963","0.00012506891","0.00012506891","0.00012506891"
"5983","0.00020947501","0.00020947501","0.00020947501"
"6020","0.0010154457","0.0010154457","0.0010154457"
"6040","0","0","0"
"6077","0","0","0"
"6097","0","0","0"
"6134","0.00015540165","0.00015540165","0.00015540165"
"6154","0.0004961924","0.0004961924","0.0004961924"
"6191","0.0004654674","0.0004654674","0.0004654674"
"6211","0","0","0"
"6248","0.0007265229","0.0007265229","0.0007265229"
"6268","0.0002012248","0.0002012248","0.0002012248"
"6305","0.0004800628","0.0004800628","0.0004800628"
"6325","0","0","0"
"6362","0","0","0"
"6382","0.0006329306","0.0006329306","0.0006329306"
"6419","0.00046877982","0.00046877982","0.00046877982"
"6439","0.00041159696","0.00041159696","0.00041159696"
"6476","0.00034688952","0.00034688952","0.00034688952"
"6496","0.00017670145","0.00017670145","0.00017670145"
"6533","0.0003549838","0.0003549838","0.0003549838"
"6553","0","0","0"
"6590","0.0005243726","0.0005243726","0.0005243726"
"6610","0.00050613564","0.00050613564","0.00050613564"
"6647","0","0","0"
"6667","0.00012392522","0.00012392522","0.00012392522"
"6704","0.00022489158","0.00022489158","0.00022489158"
"6724","0.0007246874","0.0007246874","0.0007246874"
"6761","0.00042817136","0.00042817136","0.00042817136"
"6781","0.00039104483","0.00039104483","0.00039104483"
"6818","0.00032916965","0.00032916965","0.00032916965"
"6838","0","0","0"
"6875","0.0008988195","0.0008988195","0.0008988195"
"6895","0.00034113534","0.00034113534","0.00034113534"
"6932","0.0006256788","0.0006256788","0.0006256788"
"6952","0","0","0"
"6989","0.00034833438","0.00034833438","0.00034833438"
"7009","0.0004945776","0.0004945776","0.0004945776"
"7046","0.0006646583","0.0006646583","0.0006646583"
"7066","0.00069390784","0.00069390784","0.00069390784"
"7103","0.00022740259","0.00022740259","0.00022740259"
"7123","0.0001757569","0.0001757569","0.0001757569"
"7160","0.00062251184","0.00062251184","0.00062251184"
"7180","0","0","0"
"7217","0","0","0"
"7237","0.00051790953","0.00051790953","0.00051790953"
"7274","0.0003579883","0.0003579883","0.0003579883"
"7294","0","0","0"
"7331","0.0007936243","0.0007936243","0.0007936243"
"7351","0.000114246664","0.000114246664","0.000114246664"
"7388","0.00077329634","0.00077329634","0.00077329634"
"7408","0.00041763732","0.00041763732","0.00041763732"
"7445","0.00013735739","0.00013735739","0.00013735739"
"7465","0.00011281011","0.00011281011","0.00011281011"
"7502","0.00015585496","0.00015585496","0.00015585496"
"7522","0.00037234652","0.00037234652","0.00037234652"
"7559","0","0","0"
"7579","0.00024685974","0.00024685974","0.00024685974"
"7616","0.00023267722","0.00023267722","0.00023267722"
"7636","0.0001732099","0.0001732099","0.0001732099"
"7673","0.000514076","0.000514076","0.000514076"
"7693","0.0003731209","0.0003731209","0.0003731209"
"7730","0","0","0"
"7750","0.0006431661","0.0006431661","0.0006431661"
"7787","0.00017531929","0.00017531929","0.00017531929"
"7807","0.0004312974","0.0004312974","0.0004312974"
"7844","0.00013383229","0.00013383229","0.00013383229"
"7864","0.000070957685","0.000070957685","0.000070957685"
"7901","0.00015814144","0.00015814144","0.00015814144"
"7921","0.00010448655","0.00010448655","0.00010448655"
"7958","0.00034926014","0.00034926014","0.00034926014"
"7978","0.00022418288","0.00022418288","0.00022418288"
"8015","0.00021173524","0.00021173524","0.00021173524"
"8035","0","0","0"
"8072","0","0","0"
"8092","0.00016314817","0.00016314817","0.00016314817"
"8129","0.00026032803","0.00026032803","0.00026032803"
"8149","0.00043626598","0.00043626598","0.00043626598"
"8186","0.00037120044","0.00037120044","0.00037120044"
"8206","0","0","0"
"8243","0.00014797882","0.00014797882","0.00014797882"
"8263","0.00032571744","0.00032571744","0.00032571744"
"8300","0.00025872843","0.00025872843","0.00025872843"
"8320","0","0","0"
"8357","0.00060935545","0.00060935545","0.00060935545"
"8377","0","0","0"
"8414","0.000579063","0.000579063","0.000579063"
"8434","0.000453151","0.000453151","0.000453151"
"8471","0.0015199629","0.0015199629","0.0015199629"
"8491","0","0","0"
"8528","0.0006486405","0.0006486405","0.0006486405"
"8548","0.00017613944","0.00017613944","0.00017613944"
"8585","0.0001587702","0.0001587702","0.0001587702"
"8605","0.0010372907","0.0010372907","0.0010372907"
"8642","0","0","0"
"8662","0","0","0"
"8699","0.00015235016","0.00015235016","0.00015235016"
"8719","0.00014919846","0.00014919846","0.00014919846"
"8756","0.000111388166","0.000111388166","0.000111388166"
"8776","0","0","0"
"8813","0.00054594246","0.00054594246","0.00054594246"
"8833","0.00030510323","0.00030510323","0.00030510323"
"8870","0.00035914814","0.00035914814","0.00035914814"
"8890","0","0","0"
"8927","0.00020600323","0.00020600323","0.00020600323"
"8947","0.0005027786","0.0005027786","0.0005027786"
"8984","0.00043095287","0.00043095287","0.00043095287"
"9004","0","0","0"
"9041","0.00027225757","0.00027225757","0.00027225757"
"9061","0","0","0"
"9098","0.00027360296","0.00027360296","0.00027360296"
"9118","0.0005842447","0.0005842447","0.0005842447"
"9155","0","0","0"
"9175","0","0","0"
"9212","0.00035255632","0.00035255632","0.00035255632"
"9232","0","0","0"
"9269","0.0003849393","0.0003849393","0.0003849393"
"9289","0","0","0"
"9326","0.00017665312","0.00017665312","0.00017665312"
"9346","0.00015894246","0.00015894246","0.00015894246"
"9383","0.0004262272","0.0004262272","0.0004262272"
"9403","0","0","0"
"9440","0","0","0"
"9460","0.00037324923","0.00037324923","0.00037324923"
"9497","0","0","0"
"9517","0.0008730666","0.0008730666","0.0008730666"
"9554","0.00006706577","0.00006706577","0.00006706577"
"9574","0","0","0"
"9611","0","0","0"
"9631","0","0","0"
"9668","0.0006484783","0.0006484783","0.0006484783"
"9688","0","0","0"
"9725","0","0","0"
"9745","0.00005856891","0.00005856891","0.00005856891"
"9782","0.00028109492","0.00028109492","0.00028109492"
"9802","0","0","0"
"9839","0.0003140801","0.0003140801","0.0003140801"
"9859","0.0009562149","0.0009562149","0.0009562149"
"9896","0","0","0"
"9916","0.0004721373","0.0004721373","0.0004721373"
"9953","0","0","0"
"9973","0","0","0"
"10010","0.00018169664","0.00018169664","0.00018169664"
"10030","0.00029630796","0.00029630796","0.00029630796"
"10067","0","0","0"
"10087","0.00059563207","0.00059563207","0.00059563207"
"10124","0.00044780603","0.00044780603","0.00044780603"
"10144","0.00014981699","0.00014981699","0.00014981699"
"10181","0.00015844115","0.00015844115","0.00015844115"
"10201","0.00027345587","0.00027345587","0.00027345587"
"10238","0.0005606378","0.0005606378","0.0005606378"
"10258","0.00024565123","0.00024565123","0.00024565123"
"10295","0.00021710251","0.00021710251","0.00021710251"
"10315","0","0","0"
"10352","0.00038669555","0.00038669555","0.00038669555"
"10372","0","0","0"
"10409","0.0006374385","0.0006374385","0.0006374385"
"10429","0.00038153428","0.00038153428","0.00038153428"
"10466","0.00021281272","0.00021281272","0.00021281272"
"10486","0.0010751107","0.0010751107","0.0010751107"
"10523","0.0005607045","0.0005607045","0.0005607045"
"10543","0.00047328856","0.00047328856","0.00047328856"
"10580","0","0","0"
"10600","0.00043514438","0.00043514438","0.00043514438"
"10637","0","0","0"
"10657","0.00072768604","0.00072768604","0.00072768604"
"10694","0.0001952634","0.0001952634","0.0001952634"
"10714","0.00023954963","0.00023954963","0.00023954963"
"10751","0.00027710974","0.00027710974","0.00027710974"
"10771","0.00038348621","0.00038348621","0.00038348621"
"10808","0.00017123482","0.00017123482","0.00017123482"
"10828","0","0","0"
"10865","0.00056661875","0.00056661875","0.00056661875"
"10885","0.00031098016","0.00031098016","0.00031098016"
"10922","0.0008585976","0.0008585976","0.0008585976"
"10942","0.0005280149","0.0005280149","0.0005280149"
"10979","0.00067004963","0.00067004963","0.00067004963"
"10999","0.00023403575","0.00023403575","0.00023403575"
"11036","0.00026642595","0.00026642595","0.00026642595"
"11056","0","0","0"
"11093","0.0006874222","0.0006874222","0.0006874222"
"11113","0.00020463498","0.00020463498","0.00020463498"
"11150","0","0","0"
"11170","0","0","0"
"11207","0.00038229735","0.00038229735","0.00038229735"
"11227","0","0","0"
"11264","0.00007825216","0.00007825216","0.00007825216"
"11284","0.00020270336","0.00020270336","0.00020270336"
"11321","0.00011676161","0.00011676161","0.00011676161"
"11341","0.000107511965","0.000107511965","0.000107511965"
"11378","0.00018461233","0.00018461233","0.00018461233"
"11398","0.00019591328","0.00019591328","0.00019591328"
"11435","0.00024454048","0.00024454048","0.00024454048"
"11455","0.00016961634","0.00016961634","0.00016961634"
"11492","0","0","0"
"11512","0.0008539277","0.0008539277","0.0008539277"
"11549","0.00017926081","0.00017926081","0.00017926081"
"11569","0.00032788224","0.00032788224","0.00032788224"
"11606","0.00037100902","0.00037100902","0.00037100902"
"11626","0.0005294467","0.0005294467","0.0005294467"
"11663","0","0","0"
"11683","0","0","0"
"11720","0.0003701737","0.0003701737","0.0003701737"
"11740","0.0007406295","0.0007406295","0.0007406295"
"11777","0.0003140565","0.0003140565","0.0003140565"
"11797","0","0","0"
"11834","0","0","0"
"11854","0","0","0"
"11891","0.0005375483","0.0005375483","0.0005375483"
"11911","0.0008421391","0.0008421391","0.0008421391"
"11948","0.00038180826","0.00038180826","0.00038180826"
"11968","0.00020205241","0.00020205241","0.00020205241"
"12005","0","0","0"
"12025","0.00023756709","0.00023756709","0.00023756709"
"12062","0.0006394761","0.0006394761","0.0006394761"
"12082","0.00037777255","0.00037777255","0.00037777255"
"12119","0","0","0"
"12139","0.00012927028","0.00012927028","0.00012927028"
"12176","0.0003261345","0.0003261345","0.0003261345"
"12196","0.0006609618","0.0006609618","0.0006609618"
"12233","0.00032691358","0.00032691358","0.00032691358"
"12253","0","0","0"
"12290","0.00083074777","0.00083074777","0.00083074777"
"12310","0.00027326797","0.00027326797","0.00027326797"
"12347","0.00039091345","0.00039091345","0.00039091345"
"12367","0.0004134413","0.0004134413","0.0004134413"
"12404","0.00037427057","0.00037427057","0.00037427057"
"12424","0.00087529805","0.00087529805","0.00087529805"
"12461","0.00024696367","0.00024696367","0.00024696367"
"12481","0","0","0"
"12518","0","0","0"
"12538","0","0","0"
"12575","0","0","0"
"12595","0.00051189924","0.00051189924","0.00051189924"
"12632","0.0002590885","0.0002590885","0.0002590885"
"12652","0.0003825026","0.0003825026","0.0003825026"
"12689","0","0","0"
"12709","0.00047263253","0.00047263253","0.00047263253"
"12746","0","0","0"
"12766","0","0","0"
"12803","0.00020411015","0.00020411015","0.00020411015"
"12823","0","0","0"
"12860","0.0005761576","0.0005761576","0.0005761576"
"12880","0","0","0"
"12917","0","0","0"
"12937","0.00039702162","0.00039702162","0.00039702162"
"12974","0.00032890585","0.00032890585","0.00032890585"
"12994","0","0","0"
"13031","0","0","0"
"13051","0.0009573983","0.0009573983","0.0009573983"
"13088","0","0","0"
"13108","0","0","0"
"13145","0.00015283462","0.00015283462","0.00015283462"
"13165","0.0003938666","0.0003938666","0.0003938666"
"13202","0.00038573908","0.00038573908","0.00038573908"
"13222","0.0004810372","0.0004810372","0.0004810372"
"13259","0","0","0"
"13279","0.0001698946","0.0001698946","0.0001698946"
"13316","0.00024862745","0.00024862745","0.00024862745"
"13336","0.00052194175","0.00052194175","0.00052194175"
"13373","0","0","0"
"13393","0","0","0"
"13430","0","0","0"
"13450","0.0001941127","0.0001941127","0.0001941127"
"13487","0.0008837923","0.0008837923","0.0008837923"
"13507","0.00087455835","0.00087455835","0.00087455835"
"13544","0.00034846988","0.00034846988","0.00034846988"
"13564","0","0","0"
"13601","0.00029576677","0.00029576677","0.00029576677"
"13621","0.000266046","0.000266046","0.000266046"
"13658","0.0002404593","0.0002404593","0.0002404593"
"13678","0.0003906081","0.0003906081","0.0003906081"
