"Step","Feb13_16-07-32_PPO - Reward / Total reward (mean)","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MIN","Feb13_16-07-32_PPO - Reward / Total reward (mean)__MAX"
"13","-0.6017452","-0.6017452","-0.6017452"
"30","-0.5912461","-0.5912461","-0.5912461"
"50","1.7591422","1.7591422","1.7591422"
"62","1.732607","1.732607","1.732607"
"87","1.6298302","1.6298302","1.6298302"
"107","1.7313547","1.7313547","1.7313547"
"119","1.7289224","1.7289224","1.7289224"
"136","1.5103135","1.5103135","1.5103135"
"156","1.6102496","1.6102496","1.6102496"
"184","1.6066931","1.6066931","1.6066931"
"201","1.4942328","1.4942328","1.4942328"
"213","1.551641","1.551641","1.551641"
"233","1.6561141","1.6561141","1.6561141"
"258","1.4694335","1.4694335","1.4694335"
"270","1.3626873","1.3626873","1.3626873"
"298","1.6211478","1.6211478","1.6211478"
"315","1.7513279","1.7513279","1.7513279"
"327","1.6230857","1.6230857","1.6230857"
"347","1.3507437","1.3507437","1.3507437"
"372","1.5863081","1.5863081","1.5863081"
"384","1.743065","1.743065","1.743065"
"412","1.4263535","1.4263535","1.4263535"
"421","1.6456368","1.6456368","1.6456368"
"441","1.5833464","1.5833464","1.5833464"
"461","1.6963496","1.6963496","1.6963496"
"478","1.6776985","1.6776985","1.6776985"
"506","1.5387636","1.5387636","1.5387636"
"518","1.6052133","1.6052133","1.6052133"
"535","1.7218764","1.7218764","1.7218764"
"563","1.6387566","1.6387566","1.6387566"
"583","1.6271875","1.6271875","1.6271875"
"600","1.6518619","1.6518619","1.6518619"
"612","1.5832082","1.5832082","1.5832082"
"632","1.5606658","1.5606658","1.5606658"
"649","1.3164562","1.3164562","1.3164562"
"677","1.2046988","1.2046988","1.2046988"
"689","1.4310421","1.4310421","1.4310421"
"714","1.4952089","1.4952089","1.4952089"
"726","1.4314654","1.4314654","1.4314654"
"746","1.6411071","1.6411071","1.6411071"
"771","1.525383","1.525383","1.525383"
"783","1.5779549","1.5779549","1.5779549"
"803","1.4018488","1.4018488","1.4018488"
"820","1.701658","1.701658","1.701658"
"848","1.4793031","1.4793031","1.4793031"
"868","1.6834579","1.6834579","1.6834579"
"877","1.4843504","1.4843504","1.4843504"
"897","1.6426289","1.6426289","1.6426289"
"925","1.6147352","1.6147352","1.6147352"
"942","1.5189371","1.5189371","1.5189371"
"954","1.7743747","1.7743747","1.7743747"
"974","1.6090876","1.6090876","1.6090876"
"999","1.502596","1.502596","1.502596"
"1011","1.6378253","1.6378253","1.6378253"
"1031","1.5665362","1.5665362","1.5665362"
"1048","1.5768967","1.5768967","1.5768967"
"1076","1.7218232","1.7218232","1.7218232"
"1088","1.6497794","1.6497794","1.6497794"
"1105","1.6396533","1.6396533","1.6396533"
"1133","1.7029321","1.7029321","1.7029321"
"1153","1.5646083","1.5646083","1.5646083"
"1162","1.0884088","1.0884088","1.0884088"
"1182","1.3791837","1.3791837","1.3791837"
"1202","1.5050051","1.5050051","1.5050051"
"1219","1.6463516","1.6463516","1.6463516"
"1239","1.3769925","1.3769925","1.3769925"
"1259","1.7124795","1.7124795","1.7124795"
"1276","1.5707471","1.5707471","1.5707471"
"1296","1.6108116","1.6108116","1.6108116"
"1316","1.594269","1.594269","1.594269"
"1333","1.5943515","1.5943515","1.5943515"
"1353","1.3775951","1.3775951","1.3775951"
"1381","1.33035","1.33035","1.33035"
"1390","1.6090952","1.6090952","1.6090952"
"1418","1.6891658","1.6891658","1.6891658"
"1438","1.7595063","1.7595063","1.7595063"
"1447","1.5939488","1.5939488","1.5939488"
"1467","1.5732524","1.5732524","1.5732524"
"1487","1.4414225","1.4414225","1.4414225"
"1512","1.375013","1.375013","1.375013"
"1532","1.7047545","1.7047545","1.7047545"
"1544","1.4639491","1.4639491","1.4639491"
"1561","1.5619924","1.5619924","1.5619924"
"1589","1.760163","1.760163","1.760163"
"1601","1.6687084","1.6687084","1.6687084"
"1618","1.731242","1.731242","1.731242"
"1646","1.40746","1.40746","1.40746"
"1658","1.7533972","1.7533972","1.7533972"
"1683","1.5845708","1.5845708","1.5845708"
"1695","1.3668381","1.3668381","1.3668381"
