"Step","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MIN","Feb13_10-59-31_PPO - Episode / Total timesteps (mean)__MAX"
"16","29","29","29"
"33","48.375","48.375","48.375"
"53","97.59996","97.59996","97.59996"
"65","127.36417","127.36417","127.36417"
"90","133.33186","133.33186","133.33186"
"102","107.95527","107.95527","107.95527"
"122","125.71172","125.71172","125.71172"
"147","126.21723","126.21723","126.21723"
"167","120.66372","120.66372","120.66372"
"179","127.20897","127.20897","127.20897"
"196","123.54672","123.54672","123.54672"
"216","130.2937","130.2937","130.2937"
"236","125.772026","125.772026","125.772026"
"261","114.309654","114.309654","114.309654"
"273","108.249504","108.249504","108.249504"
"293","122.4154","122.4154","122.4154"
"318","129.579","129.579","129.579"
"330","125.411354","125.411354","125.411354"
"350","152.68074","152.68074","152.68074"
"375","134.80312","134.80312","134.80312"
"395","137.96962","137.96962","137.96962"
"407","152.83272","152.83272","152.83272"
"424","153.29163","153.29163","153.29163"
"444","147.27055","147.27055","147.27055"
"472","151.41943","151.41943","151.41943"
"489","122.05969","122.05969","122.05969"
"501","167.17055","167.17055","167.17055"
"529","146.13092","146.13092","146.13092"
"538","164.02817","164.02817","164.02817"
"558","132.39871","132.39871","132.39871"
"586","162.74565","162.74565","162.74565"
"603","151.00671","151.00671","151.00671"
"615","158.5106","158.5106","158.5106"
"635","124.292145","124.292145","124.292145"
"652","132.68915","132.68915","132.68915"
"680","145.09023","145.09023","145.09023"
"692","143.61719","143.61719","143.61719"
"717","137.3069","137.3069","137.3069"
"729","198.60934","198.60934","198.60934"
"749","151.03987","151.03987","151.03987"
"766","200.39146","200.39146","200.39146"
"794","114.41513","114.41513","114.41513"
"814","165.74129","165.74129","165.74129"
"823","167.38306","167.38306","167.38306"
"851","169.2942","169.2942","169.2942"
"863","129.15639","129.15639","129.15639"
"880","142.8731","142.8731","142.8731"
"908","142.21472","142.21472","142.21472"
"920","140.5391","140.5391","140.5391"
"937","158.31354","158.31354","158.31354"
"965","148.25829","148.25829","148.25829"
"977","152.01923","152.01923","152.01923"
"994","151.89299","151.89299","151.89299"
"1022","136.91241","136.91241","136.91241"
"1042","171.38625","171.38625","171.38625"
"1059","202.10735","202.10735","202.10735"
"1071","136.99194","136.99194","136.99194"
"1091","147.48727","147.48727","147.48727"
"1116","171.83514","171.83514","171.83514"
"1136","139.07942","139.07942","139.07942"
"1148","157.72014","157.72014","157.72014"
"1165","134.87589","134.87589","134.87589"
"1193","166.41705","166.41705","166.41705"
"1213","131.13052","131.13052","131.13052"
"1222","143.77298","143.77298","143.77298"
"1242","200.81825","200.81825","200.81825"
"1262","153.22937","153.22937","153.22937"
"1279","137.53596","137.53596","137.53596"
"1299","203.90738","203.90738","203.90738"
"1327","137.63136","137.63136","137.63136"
"1336","145.12213","145.12213","145.12213"
"1356","121.14328","121.14328","121.14328"
"1376","135.107","135.107","135.107"
"1393","133.6191","133.6191","133.6191"
"1413","120.311806","120.311806","120.311806"
"1433","133.87383","133.87383","133.87383"
"1450","136.51323","136.51323","136.51323"
"1478","179.06726","179.06726","179.06726"
"1498","123.26315","123.26315","123.26315"
"1507","123.93574","123.93574","123.93574"
"1535","136.25282","136.25282","136.25282"
"1547","146.15329","146.15329","146.15329"
"1564","139.12277","139.12277","139.12277"
"1584","122.31378","122.31378","122.31378"
"1604","130.48537","130.48537","130.48537"
"1621","140.16968","140.16968","140.16968"
"1649","134.39517","134.39517","134.39517"
"1661","124.10723","124.10723","124.10723"
"1678","120.28042","120.28042","120.28042"
"1698","125.1","125.1","125.1"
"1726","152.87708","152.87708","152.87708"
"1735","177.86368","177.86368","177.86368"
"1755","152.94708","152.94708","152.94708"
"1783","163.65593","163.65593","163.65593"
"1800","130.51088","130.51088","130.51088"
"1812","128.16344","128.16344","128.16344"
"1832","136.40482","136.40482","136.40482"
"1849","143.01486","143.01486","143.01486"
"1869","136.95055","136.95055","136.95055"
"1889","186.72249","186.72249","186.72249"
"1906","135.2231","135.2231","135.2231"
"1926","166.12038","166.12038","166.12038"
"1946","180.36763","180.36763","180.36763"
"1963","144.22693","144.22693","144.22693"
"1983","118.79878","118.79878","118.79878"
"2003","152.4308","152.4308","152.4308"
"2028","129.08905","129.08905","129.08905"
"2040","130.6005","130.6005","130.6005"
"2068","126.74033","126.74033","126.74033"
"2077","123.32232","123.32232","123.32232"
"2097","126.90033","126.90033","126.90033"
"2125","165.59766","165.59766","165.59766"
"2134","137.9604","137.9604","137.9604"
"2154","130.74033","130.74033","130.74033"
"2174","122.08031","122.08031","122.08031"
"2199","147.27118","147.27118","147.27118"
"2219","121.39031","121.39031","121.39031"
"2239","160.51534","160.51534","160.51534"
"2248","126.676735","126.676735","126.676735"
"2268","122.58228","122.58228","122.58228"
"2288","159.39308","159.39308","159.39308"
"2305","126.31687","126.31687","126.31687"
"2325","131.15298","131.15298","131.15298"
"2345","125.20997","125.20997","125.20997"
"2362","152.79778","152.79778","152.79778"
"2390","150.12537","150.12537","150.12537"
"2402","128.77383","128.77383","128.77383"
"2419","119.99339","119.99339","119.99339"
"2447","168.90651","168.90651","168.90651"
"2467","117.18827","117.18827","117.18827"
"2484","130.26909","130.26909","130.26909"
"2504","146.19795","146.19795","146.19795"
"2524","128.21309","128.21309","128.21309"
"2541","160.78252","160.78252","160.78252"
"2553","131.77173","131.77173","131.77173"
"2573","125.675865","125.675865","125.675865"
"2590","122.97393","122.97393","122.97393"
"2610","122.810356","122.810356","122.810356"
"2630","148.65378","148.65378","148.65378"
"2655","122.08523","122.08523","122.08523"
"2667","131.61508","131.61508","131.61508"
"2695","208.21738","208.21738","208.21738"
"2712","144.23396","144.23396","144.23396"
"2724","123.03012","123.03012","123.03012"
"2744","156.24792","156.24792","156.24792"
"2761","137.39742","137.39742","137.39742"
"2781","133.83354","133.83354","133.83354"
"2809","137.40234","137.40234","137.40234"
"2826","139.21152","139.21152","139.21152"
"2846","155.13503","155.13503","155.13503"
"2866","116.86222","116.86222","116.86222"
"2883","116.50657","116.50657","116.50657"
"2895","167.11447","167.11447","167.11447"
"2923","152.95839","152.95839","152.95839"
"2932","114.25925","114.25925","114.25925"
"2952","120.35967","120.35967","120.35967"
"2972","127.25161","127.25161","127.25161"
"2997","124.67859","124.67859","124.67859"
"3017","124.18185","124.18185","124.18185"
"3037","137.01128","137.01128","137.01128"
"3054","147.08691","147.08691","147.08691"
"3066","137.52556","137.52556","137.52556"
"3086","118.5448","118.5448","118.5448"
"3111","134.64093","134.64093","134.64093"
"3123","127.48148","127.48148","127.48148"
"3151","127.383995","127.383995","127.383995"
"3160","123.48185","123.48185","123.48185"
"3188","136.28174","136.28174","136.28174"
"3200","126.74041","126.74041","126.74041"
"3225","137.43196","137.43196","137.43196"
"3237","128.33499","128.33499","128.33499"
"3257","143.78915","143.78915","143.78915"
"3282","129.95909","129.95909","129.95909"
"3294","146.80153","146.80153","146.80153"
"3314","140.43597","140.43597","140.43597"
"3339","130.30438","130.30438","130.30438"
"3351","141.39877","141.39877","141.39877"
