"Step","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_16-58-57_trpo_rover_TRPO - Loss / Policy loss__MAX"
"34","8.940697e-9","8.940697e-9","8.940697e-9"
"55","3.973643e-9","3.973643e-9","3.973643e-9"
"93","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"114","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"152","9.934108e-9","9.934108e-9","9.934108e-9"
"173","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"211","9.437403e-9","9.437403e-9","9.437403e-9"
"232","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"270","-7.450581e-9","-7.450581e-9","-7.450581e-9"
"291","7.947286e-9","7.947286e-9","7.947286e-9"
"329","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"350","0","0","0"
"388","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"409","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"447","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"468","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"506","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"527","1.6887984e-8","1.6887984e-8","1.6887984e-8"
"565","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"586","1.3907751e-8","1.3907751e-8","1.3907751e-8"
"624","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"645","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"683","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"704","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"742","5.960465e-9","5.960465e-9","5.960465e-9"
"763","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"801","3.973643e-9","3.973643e-9","3.973643e-9"
"822","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"860","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"881","-6.9538757e-9","-6.9538757e-9","-6.9538757e-9"
"919","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"940","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"978","-2.1855037e-8","-2.1855037e-8","-2.1855037e-8"
"999","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1037","0","0","0"
"1058","1.192093e-8","1.192093e-8","1.192093e-8"
"1096","5.960465e-9","5.960465e-9","5.960465e-9"
"1117","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"1155","-4.4703485e-9","-4.4703485e-9","-4.4703485e-9"
"1176","0","0","0"
"1214","7.947286e-9","7.947286e-9","7.947286e-9"
"1235","-2.384186e-8","-2.384186e-8","-2.384186e-8"
"1273","7.947286e-9","7.947286e-9","7.947286e-9"
"1294","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"1332","-9.934108e-10","-9.934108e-10","-9.934108e-10"
"1353","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"1391","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1412","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1450","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"1471","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1509","3.4769378e-9","3.4769378e-9","3.4769378e-9"
"1530","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"1568","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"1589","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1627","7.947286e-9","7.947286e-9","7.947286e-9"
"1648","2.483527e-9","2.483527e-9","2.483527e-9"
"1686","5.960465e-9","5.960465e-9","5.960465e-9"
"1707","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1745","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1766","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1804","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"1825","5.960465e-9","5.960465e-9","5.960465e-9"
"1863","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"1884","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1922","7.947286e-9","7.947286e-9","7.947286e-9"
"1943","1.192093e-8","1.192093e-8","1.192093e-8"
"1981","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"2002","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"2040","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"2061","4.967054e-9","4.967054e-9","4.967054e-9"
"2099","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"2120","9.934108e-9","9.934108e-9","9.934108e-9"
"2158","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"2179","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"2217","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"2238","4.967054e-9","4.967054e-9","4.967054e-9"
"2276","3.973643e-9","3.973643e-9","3.973643e-9"
"2297","0","0","0"
"2335","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"2356","5.960465e-9","5.960465e-9","5.960465e-9"
"2394","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"2415","5.960465e-9","5.960465e-9","5.960465e-9"
"2453","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"2474","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"2512","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"2533","2.9802325e-9","2.9802325e-9","2.9802325e-9"
"2571","9.437403e-9","9.437403e-9","9.437403e-9"
"2592","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"2630","7.947286e-9","7.947286e-9","7.947286e-9"
"2651","-2.5828681e-8","-2.5828681e-8","-2.5828681e-8"
"2689","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
