"Step","Feb24_22-53-44_trpo_rover_TRPO - Loss / Value loss","Feb24_22-53-44_trpo_rover_TRPO - Loss / Value loss__MIN","Feb24_22-53-44_trpo_rover_TRPO - Loss / Value loss__MAX"
"29","0.01968263","0.01968263","0.01968263"
"56","0.022705784","0.022705784","0.022705784"
"94","0.017193958","0.017193958","0.017193958"
"115","0.016948966","0.016948966","0.016948966"
"153","0.013851026","0.013851026","0.013851026"
"174","0.013989706","0.013989706","0.013989706"
"212","0.0126092695","0.0126092695","0.0126092695"
"233","0.015187869","0.015187869","0.015187869"
"271","0.011427198","0.011427198","0.011427198"
"292","0.011138276","0.011138276","0.011138276"
"330","0.011988159","0.011988159","0.011988159"
"351","0.010096959","0.010096959","0.010096959"
"389","0.03954388","0.03954388","0.03954388"
"410","0.0148475515","0.0148475515","0.0148475515"
"448","0.012693899","0.012693899","0.012693899"
"469","0.0100732455","0.0100732455","0.0100732455"
"507","0.014152079","0.014152079","0.014152079"
"528","0.012025439","0.012025439","0.012025439"
"566","0.010241141","0.010241141","0.010241141"
"587","0.011110145","0.011110145","0.011110145"
"625","0.0130784465","0.0130784465","0.0130784465"
"646","0.012272883","0.012272883","0.012272883"
"684","0.012047174","0.012047174","0.012047174"
"705","0.0102411695","0.0102411695","0.0102411695"
"743","0.024208182","0.024208182","0.024208182"
"764","0.0101192165","0.0101192165","0.0101192165"
"802","0.009034631","0.009034631","0.009034631"
"823","0.0116842985","0.0116842985","0.0116842985"
"861","0.010847278","0.010847278","0.010847278"
"882","0.010955779","0.010955779","0.010955779"
"920","0.014040559","0.014040559","0.014040559"
"941","0.009853812","0.009853812","0.009853812"
"979","0.008762522","0.008762522","0.008762522"
"1000","0.013737988","0.013737988","0.013737988"
"1038","0.011160818","0.011160818","0.011160818"
"1059","0.007933529","0.007933529","0.007933529"
"1097","0.009504132","0.009504132","0.009504132"
"1118","0.013085005","0.013085005","0.013085005"
"1156","0.00946176","0.00946176","0.00946176"
"1177","0.007435333","0.007435333","0.007435333"
"1215","0.008699306","0.008699306","0.008699306"
"1236","0.0077464553","0.0077464553","0.0077464553"
"1274","0.007023674","0.007023674","0.007023674"
"1295","0.008083144","0.008083144","0.008083144"
"1333","0.0077957558","0.0077957558","0.0077957558"
"1354","0.008751917","0.008751917","0.008751917"
"1392","0.0069212606","0.0069212606","0.0069212606"
"1413","0.006535054","0.006535054","0.006535054"
"1451","0.0075063803","0.0075063803","0.0075063803"
"1472","0.007852637","0.007852637","0.007852637"
"1510","0.0063477755","0.0063477755","0.0063477755"
"1531","0.006461989","0.006461989","0.006461989"
"1569","0.006408619","0.006408619","0.006408619"
"1590","0.0058821538","0.0058821538","0.0058821538"
"1628","0.0075610573","0.0075610573","0.0075610573"
"1649","0.0062578092","0.0062578092","0.0062578092"
"1687","0.006925982","0.006925982","0.006925982"
"1708","0.0060838675","0.0060838675","0.0060838675"
"1746","0.007529597","0.007529597","0.007529597"
"1767","0.007427971","0.007427971","0.007427971"
"1805","0.008433528","0.008433528","0.008433528"
"1826","0.0065876227","0.0065876227","0.0065876227"
"1864","0.0079287","0.0079287","0.0079287"
"1885","0.006064759","0.006064759","0.006064759"
"1923","0.0041755177","0.0041755177","0.0041755177"
"1944","0.006054949","0.006054949","0.006054949"
"1982","0.0050909994","0.0050909994","0.0050909994"
"2003","0.006044379","0.006044379","0.006044379"
"2041","0.0057218573","0.0057218573","0.0057218573"
"2062","0.005898986","0.005898986","0.005898986"
"2100","0.0074807885","0.0074807885","0.0074807885"
"2121","0.0054475637","0.0054475637","0.0054475637"
"2159","0.006971796","0.006971796","0.006971796"
"2180","0.0068177483","0.0068177483","0.0068177483"
"2218","0.0047691935","0.0047691935","0.0047691935"
"2239","0.0050118724","0.0050118724","0.0050118724"
"2277","0.004576398","0.004576398","0.004576398"
"2298","0.0051933224","0.0051933224","0.0051933224"
"2336","0.0038810428","0.0038810428","0.0038810428"
"2357","0.005353103","0.005353103","0.005353103"
"2395","0.004645814","0.004645814","0.004645814"
"2416","0.0033859627","0.0033859627","0.0033859627"
"2454","0.004818772","0.004818772","0.004818772"
"2475","0.0045813755","0.0045813755","0.0045813755"
"2513","0.0040155603","0.0040155603","0.0040155603"
"2534","0.005179575","0.005179575","0.005179575"
"2572","0.004548738","0.004548738","0.004548738"
"2593","0.004054798","0.004054798","0.004054798"
"2631","0.0041147564","0.0041147564","0.0041147564"
"2652","0.0033045998","0.0033045998","0.0033045998"
"2690","0.0043862523","0.0043862523","0.0043862523"
"2711","0.0028552618","0.0028552618","0.0028552618"
"2749","0.0038058693","0.0038058693","0.0038058693"
"2770","0.0034549523","0.0034549523","0.0034549523"
"2808","0.004315365","0.004315365","0.004315365"
"2829","0.003045914","0.003045914","0.003045914"
"2867","0.0034541446","0.0034541446","0.0034541446"
"2888","0.0039282083","0.0039282083","0.0039282083"
"2926","0.0033238416","0.0033238416","0.0033238416"
"2947","0.002769993","0.002769993","0.002769993"
"2985","0.0033061411","0.0033061411","0.0033061411"
"3006","0.0024350355","0.0024350355","0.0024350355"
"3044","0.0027719925","0.0027719925","0.0027719925"
"3065","0.002474047","0.002474047","0.002474047"
"3103","0.002498572","0.002498572","0.002498572"
"3124","0.0026823913","0.0026823913","0.0026823913"
"3162","0.0031364518","0.0031364518","0.0031364518"
"3183","0.0025079323","0.0025079323","0.0025079323"
"3221","0.0032222993","0.0032222993","0.0032222993"
"3242","0.0028570676","0.0028570676","0.0028570676"
"3280","0.0039255293","0.0039255293","0.0039255293"
"3301","0.0027395685","0.0027395685","0.0027395685"
"3339","0.0026412385","0.0026412385","0.0026412385"
"3360","0.003078595","0.003078595","0.003078595"
"3392","0.0021599187","0.0021599187","0.0021599187"
"3419","0.0022049716","0.0022049716","0.0022049716"
"3457","0.002453868","0.002453868","0.002453868"
"3478","0.0031396255","0.0031396255","0.0031396255"
"3516","0.0020534152","0.0020534152","0.0020534152"
"3537","0.0023727769","0.0023727769","0.0023727769"
"3575","0.0017856131","0.0017856131","0.0017856131"
"3596","0.0024317738","0.0024317738","0.0024317738"
"3634","0.002417963","0.002417963","0.002417963"
"3655","0.0036471882","0.0036471882","0.0036471882"
"3693","0.0023454872","0.0023454872","0.0023454872"
"3714","0.001991563","0.001991563","0.001991563"
"3752","0.0031168824","0.0031168824","0.0031168824"
"3773","0.0022104003","0.0022104003","0.0022104003"
"3811","0.0018990709","0.0018990709","0.0018990709"
"3832","0.002041308","0.002041308","0.002041308"
"3870","0.0015839022","0.0015839022","0.0015839022"
"3891","0.0015367751","0.0015367751","0.0015367751"
"3929","0.0020109178","0.0020109178","0.0020109178"
"3950","0.0021913343","0.0021913343","0.0021913343"
"3988","0.0020104004","0.0020104004","0.0020104004"
"4009","0.0024761774","0.0024761774","0.0024761774"
"4047","0.0017204587","0.0017204587","0.0017204587"
"4068","0.0019333549","0.0019333549","0.0019333549"
"4106","0.0017714468","0.0017714468","0.0017714468"
"4127","0.001431528","0.001431528","0.001431528"
"4165","0.0017798393","0.0017798393","0.0017798393"
"4186","0.0016959495","0.0016959495","0.0016959495"
"4224","0.0017154823","0.0017154823","0.0017154823"
"4245","0.0014081853","0.0014081853","0.0014081853"
"4283","0.0017904076","0.0017904076","0.0017904076"
"4304","0.0014411814","0.0014411814","0.0014411814"
"4342","0.001654854","0.001654854","0.001654854"
"4363","0.0010496228","0.0010496228","0.0010496228"
"4401","0.0017930345","0.0017930345","0.0017930345"
"4422","0.0021443134","0.0021443134","0.0021443134"
"4460","0.0018523766","0.0018523766","0.0018523766"
"4481","0.0013405475","0.0013405475","0.0013405475"
"4519","0.0018141415","0.0018141415","0.0018141415"
"4540","0.0011815052","0.0011815052","0.0011815052"
"4578","0.0014380777","0.0014380777","0.0014380777"
"4599","0.0012618945","0.0012618945","0.0012618945"
"4637","0.0008777795","0.0008777795","0.0008777795"
"4658","0.001212618","0.001212618","0.001212618"
"4696","0.0017978966","0.0017978966","0.0017978966"
"4717","0.0011980181","0.0011980181","0.0011980181"
"4755","0.0016343899","0.0016343899","0.0016343899"
"4776","0.0014591106","0.0014591106","0.0014591106"
"4814","0.0015851816","0.0015851816","0.0015851816"
"4835","0.0013575013","0.0013575013","0.0013575013"
"4873","0.001048789","0.001048789","0.001048789"
"4894","0.0014721921","0.0014721921","0.0014721921"
"4932","0.001215292","0.001215292","0.001215292"
"4953","0.00146371","0.00146371","0.00146371"
"4991","0.00092298264","0.00092298264","0.00092298264"
