"Step","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb25_09-46-53_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"39","-0.5765808","-0.5765808","-0.5765808"
"60","-0.5675326","-0.5675326","-0.5675326"
"92","-0.57159567","-0.57159567","-0.57159567"
"113","-0.54262036","-0.54262036","-0.54262036"
"160","1.2439958","1.2439958","1.2439958"
"177","-0.53078246","-0.53078246","-0.53078246"
"198","1.079013","1.079013","1.079013"
"219","-0.24142301","-0.24142301","-0.24142301"
"251","0.8425962","0.8425962","0.8425962"
"272","0.86965","0.86965","0.86965"
"293","0.82177055","0.82177055","0.82177055"
"310","-0.33665258","-0.33665258","-0.33665258"
"331","-0.29681802","-0.29681802","-0.29681802"
"378","0.6415787","0.6415787","0.6415787"
"395","-0.118491516","-0.118491516","-0.118491516"
"416","-0.5768148","-0.5768148","-0.5768148"
"437","0.12931345","0.12931345","0.12931345"
"469","1.3607292","1.3607292","1.3607292"
"490","-0.55467033","-0.55467033","-0.55467033"
"507","0.051446177","0.051446177","0.051446177"
"528","-0.12973939","-0.12973939","-0.12973939"
"549","-0.015328042","-0.015328042","-0.015328042"
"570","-0.503985","-0.503985","-0.503985"
"587","0.14621054","0.14621054","0.14621054"
"608","0.043654855","0.043654855","0.043654855"
"629","0.20864268","0.20864268","0.20864268"
"646","-0.38897523","-0.38897523","-0.38897523"
"667","0.06683766","0.06683766","0.06683766"
"684","0.107486434","0.107486434","0.107486434"
"731","-0.07169302","-0.07169302","-0.07169302"
"752","-0.5652395","-0.5652395","-0.5652395"
"773","0.102977715","0.102977715","0.102977715"
"790","-0.19211006","-0.19211006","-0.19211006"
"826","0.49754214","0.49754214","0.49754214"
"843","-0.3035176","-0.3035176","-0.3035176"
"864","1.0494525","1.0494525","1.0494525"
"885","0.48572314","0.48572314","0.48572314"
"894","0.49878135","0.49878135","0.49878135"
"923","0.3332825","0.3332825","0.3332825"
"944","0.46759045","0.46759045","0.46759045"
"961","0.4655121","0.4655121","0.4655121"
"982","0.79857135","0.79857135","0.79857135"
"1003","0.22132644","0.22132644","0.22132644"
"1020","-0.20051694","-0.20051694","-0.20051694"
"1033","0.17754412","0.17754412","0.17754412"
"1077","0.66922003","0.66922003","0.66922003"
"1094","0.45281282","0.45281282","0.45281282"
"1115","0.106648415","0.106648415","0.106648415"
"1136","0.17591867","0.17591867","0.17591867"
"1153","0.6536257","0.6536257","0.6536257"
"1174","-0.51497656","-0.51497656","-0.51497656"
"1191","-0.29099712","-0.29099712","-0.29099712"
"1212","1.0470144","1.0470144","1.0470144"
"1233","0.5714299","0.5714299","0.5714299"
"1250","-0.18611152","-0.18611152","-0.18611152"
"1271","0.06010171","0.06010171","0.06010171"
"1292","-0.50637275","-0.50637275","-0.50637275"
"1309","0.31327835","0.31327835","0.31327835"
"1330","0.07915904","0.07915904","0.07915904"
"1351","1.1117923","1.1117923","1.1117923"
"1368","0.027703164","0.027703164","0.027703164"
"1389","0.021681167","0.021681167","0.021681167"
"1410","0.13762996","0.13762996","0.13762996"
"1442","0.13302422","0.13302422","0.13302422"
"1463","0.2430201","0.2430201","0.2430201"
"1480","0.07162329","0.07162329","0.07162329"
"1501","-0.32830408","-0.32830408","-0.32830408"
"1522","0.46617904","0.46617904","0.46617904"
"1539","0.29740378","0.29740378","0.29740378"
"1560","0.11198075","0.11198075","0.11198075"
"1581","0.1976534","0.1976534","0.1976534"
"1598","0.17771038","0.17771038","0.17771038"
"1619","0.19104913","0.19104913","0.19104913"
"1640","1.0197201","1.0197201","1.0197201"
"1657","0.29629797","0.29629797","0.29629797"
"1678","0.16368365","0.16368365","0.16368365"
"1699","0.2743883","0.2743883","0.2743883"
"1716","0.16503608","0.16503608","0.16503608"
"1729","0.17660415","0.17660415","0.17660415"
"1758","0.038681187","0.038681187","0.038681187"
"1779","1.2236185","1.2236185","1.2236185"
"1811","-0.27567476","-0.27567476","-0.27567476"
"1828","0.3751147","0.3751147","0.3751147"
"1849","0.7172604","0.7172604","0.7172604"
"1870","0.19362758","0.19362758","0.19362758"
"1887","0.578834","0.578834","0.578834"
"1908","0.2904546","0.2904546","0.2904546"
"1929","0.3716595","0.3716595","0.3716595"
"1946","0.097366765","0.097366765","0.097366765"
"1967","0.57738173","0.57738173","0.57738173"
"1988","0.3235477","0.3235477","0.3235477"
"2005","0.35386685","0.35386685","0.35386685"
"2026","0.04305826","0.04305826","0.04305826"
"2047","0.101534225","0.101534225","0.101534225"
"2064","0.11782378","0.11782378","0.11782378"
"2085","0.29699457","0.29699457","0.29699457"
"2098","0.08863691","0.08863691","0.08863691"
"2123","0.18107976","0.18107976","0.18107976"
"2144","0.10898837","0.10898837","0.10898837"
"2176","0.08705106","0.08705106","0.08705106"
"2197","0.28483644","0.28483644","0.28483644"
"2218","0.5606962","0.5606962","0.5606962"
"2235","0.3215823","0.3215823","0.3215823"
"2256","0.4896656","0.4896656","0.4896656"
"2277","0.20439558","0.20439558","0.20439558"
"2298","0.3679265","0.3679265","0.3679265"
"2315","0.5285693","0.5285693","0.5285693"
"2336","0.38109094","0.38109094","0.38109094"
"2345","0.2725056","0.2725056","0.2725056"
"2374","0.20088992","0.20088992","0.20088992"
"2395","0.58821076","0.58821076","0.58821076"
"2412","0.8875716","0.8875716","0.8875716"
"2433","-0.07802962","-0.07802962","-0.07802962"
"2454","0.115387775","0.115387775","0.115387775"
"2471","0.2583658","0.2583658","0.2583658"
"2492","0.18287612","0.18287612","0.18287612"
"2513","0.4449646","0.4449646","0.4449646"
"2534","0.91421974","0.91421974","0.91421974"
"2551","0.3361174","0.3361174","0.3361174"
"2572","0.023339028","0.023339028","0.023339028"
"2593","0.64494795","0.64494795","0.64494795"
"2610","-0.21283866","-0.21283866","-0.21283866"
"2631","-0.37372732","-0.37372732","-0.37372732"
"2648","0.36261493","0.36261493","0.36261493"
"2669","0.22307886","0.22307886","0.22307886"
"2690","0.025025442","0.025025442","0.025025442"
"2707","0.45920068","0.45920068","0.45920068"
"2728","-0.007495818","-0.007495818","-0.007495818"
"2749","0.8418522","0.8418522","0.8418522"
"2758","0.48785076","0.48785076","0.48785076"
"2787","0.27023396","0.27023396","0.27023396"
"2808","0.13509974","0.13509974","0.13509974"
"2825","0.18030289","0.18030289","0.18030289"
"2846","0.17612526","0.17612526","0.17612526"
"2878","0.23051344","0.23051344","0.23051344"
"2899","0.03265794","0.03265794","0.03265794"
"2920","0.13016205","0.13016205","0.13016205"
"2937","0.49520588","0.49520588","0.49520588"
"2958","0.36295885","0.36295885","0.36295885"
"2979","0.1425655","0.1425655","0.1425655"
