elapsed_s,r0_speed,r0_distance,r0_x,r0_y,r1_speed,r1_distance,r1_x,r1_y
0.103,2.1839,65.8718,102.0829,103.1349,0.8701,83.1049,102.053,96.9326
0.202,2.0747,65.8718,102.0829,103.1349,0.8266,83.1049,102.053,96.9326
0.302,1.971,65.8718,102.0829,103.1349,0.7853,83.1049,102.053,96.9326
0.402,1.9942,65.97,102.0617,103.3794,0.847,82.9345,102.2547,96.9114
0.502,1.8945,65.97,102.0617,103.3794,0.8047,82.9345,102.2547,96.9114
0.602,1.7998,65.97,102.0617,103.3794,0.7644,82.9345,102.2547,96.9114
0.702,1.8305,66.044,102.0595,103.6018,0.8331,82.8057,102.4485,96.9461
0.802,1.739,66.044,102.0595,103.6018,0.7914,82.8057,102.4485,96.9461
0.902,1.652,66.044,102.0595,103.6018,0.7519,82.8057,102.4485,96.9461
1.002,1.5694,66.044,102.0595,103.6018,0.7143,82.8057,102.4485,96.9461
1.102,1.5872,66.0696,102.0975,103.7905,0.7702,82.7204,102.617,97.0183
1.202,1.5079,66.0696,102.0975,103.7905,0.7317,82.7204,102.617,97.0183
1.302,1.4325,66.0696,102.0975,103.7905,0.6951,82.7204,102.617,97.0183
1.402,1.4529,66.0386,102.1906,103.9637,0.7497,82.6725,102.7703,97.1304
1.502,1.3802,66.0386,102.1906,103.9637,0.7122,82.6725,102.7703,97.1304
1.602,1.3112,66.0386,102.1906,103.9637,0.6766,82.6725,102.7703,97.1304
1.702,1.3491,65.9573,102.33,104.1154,0.7427,82.6565,102.9098,97.2753
1.802,1.2817,65.9573,102.33,104.1154,0.7056,82.6565,102.9098,97.2753
1.902,1.2176,65.9573,102.33,104.1154,0.6703,82.6565,102.9098,97.2753
2.002,1.1567,65.9573,102.33,104.1154,0.6368,82.6565,102.9098,97.2753
2.102,1.1929,65.8487,102.4833,104.2228,0.7095,82.687,103.0169,97.4532
2.202,1.1333,65.8487,102.4833,104.2228,0.674,82.687,103.0169,97.4532
2.302,1.0766,65.8487,102.4833,104.2228,0.6403,82.687,103.0169,97.4532
2.402,1.1253,65.8487,102.6752,104.2935,0.7198,82.687,103.1041,97.6588
2.502,1.069,65.6917,102.6752,104.2935,0.6838,82.751,103.1041,97.6588
2.602,1.069,65.6917,102.6752,104.2935,0.6838,82.751,103.1041,97.6588
2.702,0.9648,65.6917,102.6752,104.2935,0.6171,82.751,103.1041,97.6588
2.802,1.0219,65.5081,102.8731,104.3013,0.7194,82.8464,103.1784,97.8971
2.902,0.9708,65.5081,102.8731,104.3013,0.6834,82.8464,103.1784,97.8971
3.002,0.9223,65.5081,102.8731,104.3013,0.6493,82.8464,103.1784,97.8971
3.102,0.8762,65.5081,102.8731,104.3013,0.6168,82.8464,103.1784,97.8971
3.202,0.935,65.3078,103.0713,104.2607,0.7132,82.9413,103.2546,98.136
3.302,0.8882,65.3078,103.0713,104.2607,0.6775,82.9413,103.2546,98.136
3.402,0.8438,65.3078,103.0713,104.2607,0.6436,82.9413,103.2546,98.136
3.502,0.907,65.0952,103.2697,104.1841,0.7229,83.013,103.3389,98.3474
3.602,0.8617,65.0952,103.2697,104.1841,0.6867,83.013,103.3389,98.3474
3.702,0.8186,65.0952,103.2697,104.1841,0.6524,83.013,103.3389,98.3474
3.802,0.8804,64.8884,103.4502,104.0749,0.7321,83.0489,103.4592,98.545
3.902,0.8364,64.8884,103.4502,104.0749,0.6955,83.0489,103.4592,98.545
4.002,0.8364,64.8884,103.4502,104.0749,0.6955,83.0489,103.4592,98.545
4.102,0.8685,64.7063,103.602,103.9585,0.765,83.0436,103.6129,98.7173
4.202,0.8251,64.7063,103.602,103.9585,0.7267,83.0436,103.6129,98.7173
4.302,0.7838,64.7063,103.602,103.9585,0.6904,83.0436,103.6129,98.7173
4.402,0.8406,64.5302,103.7425,103.8285,0.7719,82.9875,103.8015,98.8515
4.502,0.7986,64.5302,103.7425,103.8285,0.7333,82.9875,103.8015,98.8515
4.602,0.7586,64.5302,103.7425,103.8285,0.6966,82.9875,103.8015,98.8515
4.702,0.8238,64.3427,103.8929,103.6918,0.7846,82.9077,104.0112,98.9727
4.802,0.7826,64.3427,103.8929,103.6918,0.7454,82.9077,104.0112,98.9727
4.902,0.7435,64.3427,103.8929,103.6918,0.7081,82.9077,104.0112,98.9727
5.002,0.7435,64.3427,103.8929,103.6918,0.7081,82.9077,104.0112,98.9727
5.102,0.7642,64.1394,104.0634,103.5645,0.7543,82.8062,104.2467,99.0895
5.202,0.726,64.1394,104.0634,103.5645,0.7166,82.8062,104.2467,99.0895
5.302,0.6897,64.1394,104.0634,103.5645,0.6807,82.8062,104.2467,99.0895
5.402,0.758,63.9353,104.2477,103.4733,0.777,82.7295,104.4681,99.227
5.502,0.7201,63.9353,104.2477,103.4733,0.7381,82.7295,104.4681,99.227
5.602,0.6841,63.9353,104.2477,103.4733,0.7012,82.7295,104.4681,99.227
5.702,0.7567,63.9353,104.4502,103.4072,0.7896,82.7295,104.6783,99.3548
5.802,0.7188,63.7224,104.4502,103.4072,0.7501,82.6556,104.6783,99.3548
5.902,0.6829,63.7224,104.4502,103.4072,0.7126,82.6556,104.6783,99.3548
6.002,0.764,63.5036,104.6768,103.3918,0.8036,82.6152,104.8714,99.5128
6.102,0.7258,63.5036,104.6768,103.3918,0.7634,82.6152,104.8714,99.5128
6.202,0.6895,63.5036,104.6768,103.3918,0.7252,82.6152,104.8714,99.5128
6.302,0.7694,63.2996,104.9043,103.4227,0.8027,82.6193,105.0199,99.6864
6.402,0.7309,63.2996,104.9043,103.4227,0.7625,82.6193,105.0199,99.6864
6.502,0.6944,63.2996,104.9043,103.4227,0.7244,82.6193,105.0199,99.6864
6.602,0.7718,63.1135,105.1239,103.4842,0.7915,82.6622,105.1247,99.8685
6.702,0.7332,63.1135,105.1239,103.4842,0.7519,82.6622,105.1247,99.8685
6.802,0.7332,63.1135,105.1239,103.4842,0.7519,82.6622,105.1247,99.8685
6.902,0.6617,63.1135,105.1239,103.4842,0.6786,82.6622,105.1247,99.8685
7.002,0.747,62.9392,105.3419,103.5748,0.7596,82.7492,105.2014,100.0846
7.102,0.7096,62.9392,105.3419,103.5748,0.7216,82.7492,105.2014,100.0846
7.202,0.6742,62.9392,105.3419,103.5748,0.6855,82.7492,105.2014,100.0846
7.302,0.7715,62.7499,105.5825,103.6827,0.7754,82.8796,105.247,100.3301
7.402,0.7329,62.7499,105.5825,103.6827,0.7366,82.8796,105.247,100.3301
7.502,0.6963,62.7499,105.5825,103.6827,0.6998,82.8796,105.247,100.3301
7.602,0.7831,62.7499,105.8366,103.7614,0.6998,82.8796,105.247,100.3301
7.702,0.7831,62.5385,105.8366,103.7614,0.784,83.0285,105.2837,100.5926
7.802,0.7067,62.5385,105.8366,103.7614,0.7076,83.0285,105.2837,100.5926
7.902,0.7901,62.3254,106.073,103.7868,0.7964,83.1449,105.3455,100.8334
8.002,0.7506,62.3254,106.073,103.7868,0.7566,83.1449,105.3455,100.8334
8.102,0.7131,62.3254,106.073,103.7868,0.7188,83.1449,105.3455,100.8334
8.202,0.7919,62.1074,106.3035,103.7812,0.7864,83.1934,105.4466,101.0158
8.302,0.7523,62.1074,106.3035,103.7812,0.747,83.1934,105.4466,101.0158
8.402,0.7147,62.1074,106.3035,103.7812,0.7097,83.1934,105.4466,101.0158
8.503,0.679,62.1074,106.3035,103.7812,0.6742,83.1934,105.4466,101.0158
8.602,0.757,61.8891,106.5255,103.752,0.7371,83.1936,105.5772,101.1582
8.702,0.7191,61.8891,106.5255,103.752,0.7002,83.1936,105.5772,101.1582
8.802,0.6832,61.8891,106.5255,103.752,0.6652,83.1936,105.5772,101.1582
8.902,0.7637,61.8891,106.7496,103.6975,0.7365,83.1936,105.7553,101.27
9.002,0.7255,61.66,106.7496,103.6975,0.6997,83.1386,105.7553,101.27
9.102,0.6892,61.66,106.7496,103.6975,0.6647,83.1386,105.7553,101.27
9.202,0.7686,61.4326,106.9688,103.6341,0.735,83.0515,105.9469,101.3484
9.302,0.7302,61.4326,106.9688,103.6341,0.6983,83.0515,105.9469,101.3484
9.402,0.6937,61.4326,106.9688,103.6341,0.6634,83.0515,105.9469,101.3484
9.502,0.7749,61.2007,107.185,103.5505,0.7467,82.9319,106.1711,101.4136
9.602,0.7362,61.2007,107.185,103.5505,0.7094,82.9319,106.1711,101.4136
