"Step","Feb14_07-51-54_PPO - Loss / Policy loss","Feb14_07-51-54_PPO - Loss / Policy loss__MIN","Feb14_07-51-54_PPO - Loss / Policy loss__MAX"
"34","0","0","0"
"54","0","0","0"
"91","0","0","0"
"111","0","0","0"
"148","0.000538957","0.000538957","0.000538957"
"168","0","0","0"
"205","-0.00013917663","-0.00013917663","-0.00013917663"
"225","0","0","0"
"262","0","0","0"
"282","-0.0036594484","-0.0036594484","-0.0036594484"
"319","0","0","0"
"339","0.0023935738","0.0023935738","0.0023935738"
"376","0","0","0"
"396","-0.003462474","-0.003462474","-0.003462474"
"433","0","0","0"
"453","0","0","0"
"490","-0.00091158855","-0.00091158855","-0.00091158855"
"510","0.00007576061","0.00007576061","0.00007576061"
"547","0","0","0"
"567","0.006887584","0.006887584","0.006887584"
"604","0","0","0"
"624","0.00021126882","0.00021126882","0.00021126882"
"661","-0.0027123853","-0.0027123853","-0.0027123853"
"681","0","0","0"
"718","-0.0006641683","-0.0006641683","-0.0006641683"
"738","0.0002926103","0.0002926103","0.0002926103"
"775","-0.004118552","-0.004118552","-0.004118552"
"795","0","0","0"
"832","0.00037759313","0.00037759313","0.00037759313"
"852","0","0","0"
"889","-0.0014259965","-0.0014259965","-0.0014259965"
"909","-0.00031815146","-0.00031815146","-0.00031815146"
"946","-0.0024454421","-0.0024454421","-0.0024454421"
"966","0.00045418","0.00045418","0.00045418"
"1003","0.00007235316","0.00007235316","0.00007235316"
"1023","0","0","0"
"1060","-0.00074296666","-0.00074296666","-0.00074296666"
"1080","0","0","0"
"1117","0.00038395467","0.00038395467","0.00038395467"
"1137","0.0010838297","0.0010838297","0.0010838297"
"1174","0","0","0"
"1194","-0.00025892848","-0.00025892848","-0.00025892848"
"1231","0.00040979043","0.00040979043","0.00040979043"
"1251","0.00041276746","0.00041276746","0.00041276746"
"1288","0.0016767055","0.0016767055","0.0016767055"
"1308","-0.00072663603","-0.00072663603","-0.00072663603"
"1345","-0.00089336047","-0.00089336047","-0.00089336047"
"1365","0","0","0"
"1402","0.0013784879","0.0013784879","0.0013784879"
"1422","-0.00076377986","-0.00076377986","-0.00076377986"
"1459","0","0","0"
"1479","0.00007394146","0.00007394146","0.00007394146"
"1516","0","0","0"
"1536","-0.00012002979","-0.00012002979","-0.00012002979"
"1573","-0.00032140067","-0.00032140067","-0.00032140067"
"1593","0","0","0"
"1630","0.0012305683","0.0012305683","0.0012305683"
"1650","-0.0012356242","-0.0012356242","-0.0012356242"
"1687","-0.0034801143","-0.0034801143","-0.0034801143"
"1707","-0.00012981244","-0.00012981244","-0.00012981244"
"1744","0.0013515875","0.0013515875","0.0013515875"
"1764","0.0016583956","0.0016583956","0.0016583956"
"1801","-0.0017885373","-0.0017885373","-0.0017885373"
"1821","0.004834966","0.004834966","0.004834966"
"1858","0","0","0"
"1878","0.0010711433","0.0010711433","0.0010711433"
"1915","-0.0007771098","-0.0007771098","-0.0007771098"
"1935","-0.0014405731","-0.0014405731","-0.0014405731"
"1972","0","0","0"
"1992","-0.0012923386","-0.0012923386","-0.0012923386"
"2029","0.0013730669","0.0013730669","0.0013730669"
"2049","0","0","0"
"2086","0.00041677657","0.00041677657","0.00041677657"
"2106","0","0","0"
"2143","-0.002013113","-0.002013113","-0.002013113"
"2163","-0.00058312865","-0.00058312865","-0.00058312865"
"2200","0","0","0"
"2220","-0.005133566","-0.005133566","-0.005133566"
"2257","-0.00037963752","-0.00037963752","-0.00037963752"
"2277","-0.001015617","-0.001015617","-0.001015617"
"2314","0.0029021734","0.0029021734","0.0029021734"
"2334","-0.00017466854","-0.00017466854","-0.00017466854"
"2371","0.0009051776","0.0009051776","0.0009051776"
"2391","-0.0008571307","-0.0008571307","-0.0008571307"
"2428","0.0012928889","0.0012928889","0.0012928889"
"2448","0.0026051928","0.0026051928","0.0026051928"
"2485","0","0","0"
"2505","-0.000043608885","-0.000043608885","-0.000043608885"
"2542","0.00096165604","0.00096165604","0.00096165604"
"2562","-0.0004976858","-0.0004976858","-0.0004976858"
"2599","-0.003187993","-0.003187993","-0.003187993"
"2619","-0.00048012784","-0.00048012784","-0.00048012784"
"2656","0.002534136","0.002534136","0.002534136"
"2676","0.0004939229","0.0004939229","0.0004939229"
"2713","0","0","0"
"2733","0","0","0"
"2770","-0.00071005773","-0.00071005773","-0.00071005773"
"2790","-0.0011376017","-0.0011376017","-0.0011376017"
"2827","0","0","0"
"2847","-0.0007665028","-0.0007665028","-0.0007665028"
"2884","-0.002091564","-0.002091564","-0.002091564"
"2904","0.0010497635","0.0010497635","0.0010497635"
"2941","0.0009895442","0.0009895442","0.0009895442"
"2961","0.0028104144","0.0028104144","0.0028104144"
"2998","0.002076071","0.002076071","0.002076071"
"3018","-0.0037470325","-0.0037470325","-0.0037470325"
"3055","0","0","0"
"3075","0.0007576969","0.0007576969","0.0007576969"
"3112","0.0050606206","0.0050606206","0.0050606206"
"3132","0.0025122834","0.0025122834","0.0025122834"
"3169","0.00039194056","0.00039194056","0.00039194056"
"3189","0","0","0"
"3226","-0.00011418918","-0.00011418918","-0.00011418918"
"3246","0.0006410857","0.0006410857","0.0006410857"
"3283","-0.0007535994","-0.0007535994","-0.0007535994"
"3303","0.00032170897","0.00032170897","0.00032170897"
"3340","0","0","0"
"3360","0","0","0"
"3397","-0.00023477779","-0.00023477779","-0.00023477779"
"3417","0.0012744654","0.0012744654","0.0012744654"
"3454","-0.000026720685","-0.000026720685","-0.000026720685"
"3474","0","0","0"
"3511","0","0","0"
"3531","0.0011043344","0.0011043344","0.0011043344"
"3568","0.001555281","0.001555281","0.001555281"
"3588","0.00028304366","0.00028304366","0.00028304366"
"3625","0","0","0"
"3645","0.0017483109","0.0017483109","0.0017483109"
"3682","0","0","0"
"3702","0","0","0"
"3739","-0.00024557023","-0.00024557023","-0.00024557023"
"3759","0","0","0"
"3796","-0.0003388359","-0.0003388359","-0.0003388359"
"3816","0","0","0"
"3853","-0.0005053407","-0.0005053407","-0.0005053407"
"3873","-0.0009204769","-0.0009204769","-0.0009204769"
"3910","0.0004838585","0.0004838585","0.0004838585"
"3930","0","0","0"
"3967","0.0008890155","0.0008890155","0.0008890155"
"3987","-0.0036349357","-0.0036349357","-0.0036349357"
"4024","-0.0010199717","-0.0010199717","-0.0010199717"
"4044","0.0001507751","0.0001507751","0.0001507751"
"4081","0.0005312115","0.0005312115","0.0005312115"
"4101","0.003494616","0.003494616","0.003494616"
"4138","0","0","0"
"4158","0","0","0"
"4195","0.00080155255","0.00080155255","0.00080155255"
"4215","-0.0018229733","-0.0018229733","-0.0018229733"
"4252","0.003832596","0.003832596","0.003832596"
"4272","-0.0003300577","-0.0003300577","-0.0003300577"
"4309","-0.0014585494","-0.0014585494","-0.0014585494"
"4329","0","0","0"
"4366","0","0","0"
"4386","0.0002137908","0.0002137908","0.0002137908"
"4423","0","0","0"
"4443","0.00082323054","0.00082323054","0.00082323054"
"4480","0.0030988697","0.0030988697","0.0030988697"
"4500","0","0","0"
"4537","0.001105597","0.001105597","0.001105597"
"4557","-0.0009240504","-0.0009240504","-0.0009240504"
"4594","-0.0010834899","-0.0010834899","-0.0010834899"
"4614","0","0","0"
"4651","0.000354828","0.000354828","0.000354828"
"4671","0.000023996674","0.000023996674","0.000023996674"
"4708","-0.0002281704","-0.0002281704","-0.0002281704"
"4728","-0.0015699541","-0.0015699541","-0.0015699541"
"4765","0.005549308","0.005549308","0.005549308"
"4785","-0.00006917325","-0.00006917325","-0.00006917325"
"4822","0.003205046","0.003205046","0.003205046"
"4842","-0.00012297898","-0.00012297898","-0.00012297898"
"4879","0.0034222447","0.0034222447","0.0034222447"
"4899","0.001516009","0.001516009","0.001516009"
"4936","0.0019831175","0.0019831175","0.0019831175"
"4956","0.0017077283","0.0017077283","0.0017077283"
"4993","-0.00031922146","-0.00031922146","-0.00031922146"
"5013","0.0020913656","0.0020913656","0.0020913656"
"5050","-0.002625641","-0.002625641","-0.002625641"
"5070","0.00003653775","0.00003653775","0.00003653775"
"5107","0.00009260928","0.00009260928","0.00009260928"
"5127","-0.0022563145","-0.0022563145","-0.0022563145"
"5164","0.00061643246","0.00061643246","0.00061643246"
"5184","0.0024862587","0.0024862587","0.0024862587"
"5221","-0.0004638185","-0.0004638185","-0.0004638185"
"5241","0","0","0"
"5278","0","0","0"
"5298","0","0","0"
"5335","-0.0012866631","-0.0012866631","-0.0012866631"
"5355","0","0","0"
"5392","0.00064182724","0.00064182724","0.00064182724"
"5412","-0.0088391155","-0.0088391155","-0.0088391155"
"5449","0.00033993254","0.00033993254","0.00033993254"
"5469","0.0008962567","0.0008962567","0.0008962567"
"5506","-0.002335257","-0.002335257","-0.002335257"
"5526","-0.00206078","-0.00206078","-0.00206078"
"5563","0","0","0"
"5583","-0.00037151508","-0.00037151508","-0.00037151508"
"5620","0.00036093564","0.00036093564","0.00036093564"
"5640","0","0","0"
"5677","0.001995672","0.001995672","0.001995672"
"5697","0","0","0"
"5734","0.00056459213","0.00056459213","0.00056459213"
"5754","0.0011036353","0.0011036353","0.0011036353"
"5791","-0.0016323574","-0.0016323574","-0.0016323574"
"5811","0","0","0"
"5848","-0.0014060966","-0.0014060966","-0.0014060966"
"5868","-0.0024339068","-0.0024339068","-0.0024339068"
"5905","0.001316569","0.001316569","0.001316569"
"5925","0","0","0"
"5962","0.0025487232","0.0025487232","0.0025487232"
"5982","0.0021234888","0.0021234888","0.0021234888"
"6019","-0.0013035191","-0.0013035191","-0.0013035191"
"6039","0.00089519226","0.00089519226","0.00089519226"
"6076","0.000028470353","0.000028470353","0.000028470353"
"6096","-0.0011426017","-0.0011426017","-0.0011426017"
"6133","-0.000096386335","-0.000096386335","-0.000096386335"
"6153","0.00074889034","0.00074889034","0.00074889034"
"6190","0","0","0"
"6210","-0.00042624655","-0.00042624655","-0.00042624655"
"6247","0.0010160799","0.0010160799","0.0010160799"
"6267","0","0","0"
"6304","0.00077175774","0.00077175774","0.00077175774"
"6324","0.0029055476","0.0029055476","0.0029055476"
"6361","0.0025187952","0.0025187952","0.0025187952"
"6381","-0.0028047885","-0.0028047885","-0.0028047885"
"6418","-0.0010289885","-0.0010289885","-0.0010289885"
"6438","-0.0005563813","-0.0005563813","-0.0005563813"
"6475","-0.0009727055","-0.0009727055","-0.0009727055"
"6495","0.002609578","0.002609578","0.002609578"
"6532","0.0011793798","0.0011793798","0.0011793798"
"6552","-0.0033312815","-0.0033312815","-0.0033312815"
"6589","0.000178403","0.000178403","0.000178403"
"6609","-0.00012906484","-0.00012906484","-0.00012906484"
"6646","0.0058775125","0.0058775125","0.0058775125"
"6666","0.00090996595","0.00090996595","0.00090996595"
"6703","0.0026438565","0.0026438565","0.0026438565"
"6723","0.0002595371","0.0002595371","0.0002595371"
"6760","0.0041718804","0.0041718804","0.0041718804"
"6780","-0.00007027741","-0.00007027741","-0.00007027741"
"6817","0.0017058029","0.0017058029","0.0017058029"
"6837","0.0046296483","0.0046296483","0.0046296483"
"6874","-0.002019765","-0.002019765","-0.002019765"
"6894","-0.00064537197","-0.00064537197","-0.00064537197"
"6931","0.0057688165","0.0057688165","0.0057688165"
"6951","0.0005540245","0.0005540245","0.0005540245"
"6988","0.00020390985","0.00020390985","0.00020390985"
"7008","0","0","0"
"7045","-0.0011765879","-0.0011765879","-0.0011765879"
"7065","0","0","0"
"7102","0","0","0"
"7122","-0.0028076114","-0.0028076114","-0.0028076114"
"7159","-0.0026852116","-0.0026852116","-0.0026852116"
"7179","-0.00013526877","-0.00013526877","-0.00013526877"
"7216","-0.0026831198","-0.0026831198","-0.0026831198"
"7236","0","0","0"
"7273","0.00097477646","0.00097477646","0.00097477646"
"7293","-0.00011230658","-0.00011230658","-0.00011230658"
"7330","-0.0012018495","-0.0012018495","-0.0012018495"
"7350","0.00071254175","0.00071254175","0.00071254175"
"7387","0.0023329202","0.0023329202","0.0023329202"
"7407","0.00017189543","0.00017189543","0.00017189543"
"7444","-0.00070664124","-0.00070664124","-0.00070664124"
"7464","0.0017270672","0.0017270672","0.0017270672"
"7501","0.00065435685","0.00065435685","0.00065435685"
"7521","-0.00640106","-0.00640106","-0.00640106"
"7558","0.000074194606","0.000074194606","0.000074194606"
"7578","0.0042424654","0.0042424654","0.0042424654"
"7615","-0.000575597","-0.000575597","-0.000575597"
"7635","-0.0008328716","-0.0008328716","-0.0008328716"
"7672","0","0","0"
"7692","-0.0013419361","-0.0013419361","-0.0013419361"
"7729","0.0006601569","0.0006601569","0.0006601569"
"7749","0.0007895244","0.0007895244","0.0007895244"
"7786","-0.0003595169","-0.0003595169","-0.0003595169"
"7806","0.003782763","0.003782763","0.003782763"
"7843","0","0","0"
"7863","-0.00032964573","-0.00032964573","-0.00032964573"
"7900","0.0006544827","0.0006544827","0.0006544827"
"7920","-0.0037886875","-0.0037886875","-0.0037886875"
"7957","0","0","0"
"7977","0","0","0"
"8014","0","0","0"
"8034","0","0","0"
"8071","0.0022399698","0.0022399698","0.0022399698"
"8091","0","0","0"
"8128","-0.00032489997","-0.00032489997","-0.00032489997"
"8148","0.0003719018","0.0003719018","0.0003719018"
"8185","-0.0008034472","-0.0008034472","-0.0008034472"
"8205","-0.0026522258","-0.0026522258","-0.0026522258"
"8242","0.00015631337","0.00015631337","0.00015631337"
"8262","0.0021261766","0.0021261766","0.0021261766"
"8299","-0.0006305867","-0.0006305867","-0.0006305867"
"8319","-0.001017208","-0.001017208","-0.001017208"
"8356","-0.000435425","-0.000435425","-0.000435425"
"8376","0.0017354288","0.0017354288","0.0017354288"
"8413","-0.0006486672","-0.0006486672","-0.0006486672"
"8433","0.00076232187","0.00076232187","0.00076232187"
"8470","0","0","0"
"8490","0.0030211613","0.0030211613","0.0030211613"
"8527","-0.00067401154","-0.00067401154","-0.00067401154"
"8547","0.0011375626","0.0011375626","0.0011375626"
"8584","0","0","0"
"8604","0.00016882723","0.00016882723","0.00016882723"
"8641","-0.00032541642","-0.00032541642","-0.00032541642"
"8661","-0.00061095314","-0.00061095314","-0.00061095314"
"8698","0.00053164066","0.00053164066","0.00053164066"
"8718","0","0","0"
"8755","-0.00044659295","-0.00044659295","-0.00044659295"
"8775","0.00002518931","0.00002518931","0.00002518931"
