"Step","Feb12_14-13-59_PPO - Episode / Total timesteps (mean)","Feb12_14-13-59_PPO - Episode / Total timesteps (mean)__MIN","Feb12_14-13-59_PPO - Episode / Total timesteps (mean)__MAX"
"16","34","34","34"
"36","79","79","79"
"53","84.96774","84.96774","84.96774"
"73","142.98695","142.98695","142.98695"
"90","173.1478","173.1478","173.1478"
"102","199.20572","199.20572","199.20572"
"130","240.8622","240.8622","240.8622"
"147","289.47116","289.47116","289.47116"
"167","273.1009","273.1009","273.1009"
"179","265.50558","265.50558","265.50558"
"204","219.20512","219.20512","219.20512"
"216","306.0249","306.0249","306.0249"
"236","215.9973","215.9973","215.9973"
"261","329.35083","329.35083","329.35083"
"273","320.35806","320.35806","320.35806"
"293","269.90793","269.90793","269.90793"
"318","417.47253","417.47253","417.47253"
"330","380.1915","380.1915","380.1915"
"358","538.77997","538.77997","538.77997"
"375","230.21631","230.21631","230.21631"
"387","258.12912","258.12912","258.12912"
"415","255.63092","255.63092","255.63092"
"432","203.14735","203.14735","203.14735"
"452","276.81494","276.81494","276.81494"
"472","379.25247","379.25247","379.25247"
"489","298.33432","298.33432","298.33432"
"501","297.2768","297.2768","297.2768"
"521","248.58052","248.58052","248.58052"
"546","345.6662","345.6662","345.6662"
"558","253.26218","253.26218","253.26218"
"586","327.1609","327.1609","327.1609"
"595","338.43246","338.43246","338.43246"
"615","386.77216","386.77216","386.77216"
"643","426.60483","426.60483","426.60483"
"660","522.5657","522.5657","522.5657"
"680","351.65234","351.65234","351.65234"
"700","399.2204","399.2204","399.2204"
"709","234.89497","234.89497","234.89497"
"737","517.87616","517.87616","517.87616"
"757","326.66708","326.66708","326.66708"
"774","264.4924","264.4924","264.4924"
"794","324.6913","324.6913","324.6913"
"806","263.3665","263.3665","263.3665"
"831","380.0599","380.0599","380.0599"
"851","379.4183","379.4183","379.4183"
"871","439.79855","439.79855","439.79855"
"880","271.80338","271.80338","271.80338"
"908","294.52167","294.52167","294.52167"
"928","376.65106","376.65106","376.65106"
"945","341.2433","341.2433","341.2433"
"957","306.97104","306.97104","306.97104"
"985","306.8181","306.8181","306.8181"
"1002","351.23553","351.23553","351.23553"
"1022","362.59097","362.59097","362.59097"
"1042","437.96393","437.96393","437.96393"
"1051","259.5711","259.5711","259.5711"
"1079","254.37561","254.37561","254.37561"
"1091","278.8855","278.8855","278.8855"
"1116","329.9527","329.9527","329.9527"
"1136","499.63937","499.63937","499.63937"
"1156","382.9063","382.9063","382.9063"
"1165","307.43643","307.43643","307.43643"
"1185","277.8153","277.8153","277.8153"
"1205","431.33762","431.33762","431.33762"
"1222","307.5304","307.5304","307.5304"
"1250","483.3809","483.3809","483.3809"
"1270","341.11765","341.11765","341.11765"
"1279","271.22778","271.22778","271.22778"
"1299","296.33707","296.33707","296.33707"
"1327","385.25046","385.25046","385.25046"
"1336","383.0257","383.0257","383.0257"
"1364","340.35028","340.35028","340.35028"
"1376","237.8267","237.8267","237.8267"
"1401","411.26895","411.26895","411.26895"
"1413","326.42883","326.42883","326.42883"
"1441","290.77023","290.77023","290.77023"
"1458","267.0782","267.0782","267.0782"
"1470","321.51816","321.51816","321.51816"
"1498","171.67308","171.67308","171.67308"
"1515","341.16943","341.16943","341.16943"
"1527","374.54617","374.54617","374.54617"
"1555","314.64474","314.64474","314.64474"
"1572","367.3849","367.3849","367.3849"
"1584","216.53879","216.53879","216.53879"
"1612","228.67117","228.67117","228.67117"
"1621","295.9696","295.9696","295.9696"
"1649","234.89494","234.89494","234.89494"
"1669","422.18317","422.18317","422.18317"
"1686","380.94803","380.94803","380.94803"
"1706","380.2513","380.2513","380.2513"
"1726","447.06207","447.06207","447.06207"
"1743","326.7962","326.7962","326.7962"
"1763","327.42947","327.42947","327.42947"
"1783","346.9739","346.9739","346.9739"
"1800","246.41827","246.41827","246.41827"
"1820","310.42847","310.42847","310.42847"
"1840","442.05194","442.05194","442.05194"
"1857","544.78796","544.78796","544.78796"
"1877","372.32953","372.32953","372.32953"
"1897","356.127","356.127","356.127"
"1914","264.78842","264.78842","264.78842"
"1934","461.791","461.791","461.791"
"1954","358.35666","358.35666","358.35666"
"1971","397.4114","397.4114","397.4114"
"1991","370.8541","370.8541","370.8541"
"2003","370.89835","370.89835","370.89835"
"2028","391.46576","391.46576","391.46576"
"2048","472.07178","472.07178","472.07178"
"2060","372.89865","372.89865","372.89865"
"2077","439.22916","439.22916","439.22916"
"2105","552.4311","552.4311","552.4311"
"2125","365.31744","365.31744","365.31744"
"2142","386.65527","386.65527","386.65527"
"2162","300.9345","300.9345","300.9345"
"2182","575.5496","575.5496","575.5496"
"2199","685.96875","685.96875","685.96875"
"2219","606.2135","606.2135","606.2135"
"2231","741.06586","741.06586","741.06586"
"2256","613.2853","613.2853","613.2853"
"2276","653.42957","653.42957","653.42957"
"2296","681.5526","681.5526","681.5526"
"2305","716.04706","716.04706","716.04706"
"2333","611.5754","611.5754","611.5754"
"2353","659.03613","659.03613","659.03613"
"2370","680.4658","680.4658","680.4658"
"2390","639.125","639.125","639.125"
"2402","748.5857","748.5857","748.5857"
"2427","712.812","712.812","712.812"
"2447","569.94824","569.94824","569.94824"
"2467","553.229","553.229","553.229"
"2484","571.3268","571.3268","571.3268"
"2504","695.456","695.456","695.456"
"2524","542.4352","542.4352","542.4352"
"2533","574.234","574.234","574.234"
"2553","682.9928","682.9928","682.9928"
"2581","520.65015","520.65015","520.65015"
"2598","622.2745","622.2745","622.2745"
"2618","487.4883","487.4883","487.4883"
"2638","750","750","750"
"2655","506.22137","506.22137","506.22137"
"2667","537.4875","537.4875","537.4875"
"2695","506.57034","506.57034","506.57034"
"2712","500.57605","500.57605","500.57605"
"2732","694.05206","694.05206","694.05206"
"2752","479.54587","479.54587","479.54587"
"2769","613.1996","613.1996","613.1996"
"2789","548.51624","548.51624","548.51624"
"2809","591.98334","591.98334","591.98334"
"2826","380.0217","380.0217","380.0217"
"2846","351.28333","351.28333","351.28333"
"2858","653.2828","653.2828","653.2828"
"2883","680.24115","680.24115","680.24115"
"2903","531.1349","531.1349","531.1349"
"2923","500.7533","500.7533","500.7533"
"2932","532.6045","532.6045","532.6045"
"2960","710.4286","710.4286","710.4286"
"2980","619.8441","619.8441","619.8441"
"2997","517.85254","517.85254","517.85254"
"3009","507.41312","507.41312","507.41312"
"3037","629.5185","629.5185","629.5185"
"3046","588.5125","588.5125","588.5125"
"3074","643.93274","643.93274","643.93274"
"3094","470.62827","470.62827","470.62827"
"3111","425.56213","425.56213","425.56213"
"3131","431.77112","431.77112","431.77112"
"3151","364.1177","364.1177","364.1177"
"3160","628.5183","628.5183","628.5183"
"3188","550.69196","550.69196","550.69196"
"3208","700.1958","700.1958","700.1958"
"3225","506.44925","506.44925","506.44925"
"3237","352.675","352.675","352.675"
"3265","530.05914","530.05914","530.05914"
"3282","526.9379","526.9379","526.9379"
"3302","454.41315","454.41315","454.41315"
"3314","699.7038","699.7038","699.7038"
"3339","712.52704","712.52704","712.52704"
"3351","737.42975","737.42975","737.42975"
"3379","592.6918","592.6918","592.6918"
"3396","616.96857","616.96857","616.96857"
"3416","662.0342","662.0342","662.0342"
"3428","522.4135","522.4135","522.4135"
"3453","424.8417","424.8417","424.8417"
"3473","652.46924","652.46924","652.46924"
"3493","391.04218","391.04218","391.04218"
"3510","374.47827","374.47827","374.47827"
"3522","467.4382","467.4382","467.4382"
"3542","569.09375","569.09375","569.09375"
"3559","570.20056","570.20056","570.20056"
"3587","707.9139","707.9139","707.9139"
"3607","424.81918","424.81918","424.81918"
"3624","573.29034","573.29034","573.29034"
"3636","527.42523","527.42523","527.42523"
"3664","412.8718","412.8718","412.8718"
"3681","600.0307","600.0307","600.0307"
"3701","562.7066","562.7066","562.7066"
"3721","371.87958","371.87958","371.87958"
"3730","590.8175","590.8175","590.8175"
"3758","598.735","598.735","598.735"
"3778","579.2542","579.2542","579.2542"
"3795","480.72354","480.72354","480.72354"
"3815","511.86465","511.86465","511.86465"
"3835","739.7748","739.7748","739.7748"
"3852","356.83542","356.83542","356.83542"
"3872","715.3514","715.3514","715.3514"
"3892","578.1425","578.1425","578.1425"
"3909","506.23196","506.23196","506.23196"
"3929","617.26605","617.26605","617.26605"
"3949","486.9296","486.9296","486.9296"
"3958","530.87964","530.87964","530.87964"
"3986","492.75333","492.75333","492.75333"
"4006","518.50116","518.50116","518.50116"
"4023","447.9928","447.9928","447.9928"
"4043","620.6018","620.6018","620.6018"
"4055","560.765","560.765","560.765"
"4080","628.5548","628.5548","628.5548"
"4100","380.3963","380.3963","380.3963"
"4112","372.2486","372.2486","372.2486"
"4129","611.0135","611.0135","611.0135"
"4157","414.96942","414.96942","414.96942"
"4177","574.6069","574.6069","574.6069"
"4194","402.70605","402.70605","402.70605"
"4214","750","750","750"
"4234","503.54993","503.54993","503.54993"
"4251","718.50525","718.50525","718.50525"
"4271","610.95154","610.95154","610.95154"
"4283","707.87836","707.87836","707.87836"
"4308","750","750","750"
"4328","712.0752","712.0752","712.0752"
"4348","708.1656","708.1656","708.1656"
"4365","640.0985","640.0985","640.0985"
"4385","491.0914","491.0914","491.0914"
"4405","750","750","750"
"4422","603.78094","603.78094","603.78094"
"4434","530.042","530.042","530.042"
"4462","664.8644","664.8644","664.8644"
"4479","575.2615","575.2615","575.2615"
"4499","432.42856","432.42856","432.42856"
"4519","660.01556","660.01556","660.01556"
"4536","547.40436","547.40436","547.40436"
"4556","510.40683","510.40683","510.40683"
"4576","502.17105","502.17105","502.17105"
"4593","486.83392","486.83392","486.83392"
"4613","433.57135","433.57135","433.57135"
"4633","448.90103","448.90103","448.90103"
"4650","446.7597","446.7597","446.7597"
"4670","302.94565","302.94565","302.94565"
"4690","515.3351","515.3351","515.3351"
"4707","655.64636","655.64636","655.64636"
"4719","452.7021","452.7021","452.7021"
"4747","586.72675","586.72675","586.72675"
"4764","426.8042","426.8042","426.8042"
"4776","375.56375","375.56375","375.56375"
"4796","388.64056","388.64056","388.64056"
"4821","419.5291","419.5291","419.5291"
"4841","400.88754","400.88754","400.88754"
"4861","566.7877","566.7877","566.7877"
"4878","516.5804","516.5804","516.5804"
"4898","521.5354","521.5354","521.5354"
"4918","629.5946","629.5946","629.5946"
"4927","424.99448","424.99448","424.99448"
"4947","612.79346","612.79346","612.79346"
"4975","379.30154","379.30154","379.30154"
"4984","421.7649","421.7649","421.7649"
"5012","643.12695","643.12695","643.12695"
"5032","373.3761","373.3761","373.3761"
"5049","453.64282","453.64282","453.64282"
"5069","407.12823","407.12823","407.12823"
"5089","386.18552","386.18552","386.18552"
"5106","479.29083","479.29083","479.29083"
"5126","559.3113","559.3113","559.3113"
"5146","385.48804","385.48804","385.48804"
"5155","474.9599","474.9599","474.9599"
"5183","391.11206","391.11206","391.11206"
"5195","476.63934","476.63934","476.63934"
"5220","304.99548","304.99548","304.99548"
"5240","496.56955","496.56955","496.56955"
"5252","427.81168","427.81168","427.81168"
"5269","337.64438","337.64438","337.64438"
"5297","388.5842","388.5842","388.5842"
"5317","444.47516","444.47516","444.47516"
"5326","356.49643","356.49643","356.49643"
"5354","520.39526","520.39526","520.39526"
"5374","492.49887","492.49887","492.49887"
"5391","429.22562","429.22562","429.22562"
"5411","249.5412","249.5412","249.5412"
"5423","424.7861","424.7861","424.7861"
"5448","374.4602","374.4602","374.4602"
"5468","396.1729","396.1729","396.1729"
"5480","348.12524","348.12524","348.12524"
"5497","368.92596","368.92596","368.92596"
"5525","665.9905","665.9905","665.9905"
"5537","421.82388","421.82388","421.82388"
"5562","395.49768","395.49768","395.49768"
"5582","503.125","503.125","503.125"
"5602","453.04404","453.04404","453.04404"
"5619","403.09036","403.09036","403.09036"
"5639","349.89896","349.89896","349.89896"
"5659","422.17688","422.17688","422.17688"
"5676","442.80478","442.80478","442.80478"
"5696","301.3515","301.3515","301.3515"
"5716","310.3138","310.3138","310.3138"
"5725","550.0478","550.0478","550.0478"
"5753","344.79178","344.79178","344.79178"
"5773","489.38434","489.38434","489.38434"
"5790","499.01233","499.01233","499.01233"
"5802","424.35788","424.35788","424.35788"
"5830","362.34702","362.34702","362.34702"
"5847","526.22986","526.22986","526.22986"
"5867","329.9043","329.9043","329.9043"
"5887","305.77036","305.77036","305.77036"
"5896","407.75","407.75","407.75"
"5924","532.29","532.29","532.29"
"5944","295.78107","295.78107","295.78107"
"5953","476.8055","476.8055","476.8055"
"5981","386.22266","386.22266","386.22266"
"6001","559.1627","559.1627","559.1627"
"6018","423.01004","423.01004","423.01004"
"6038","319.43698","319.43698","319.43698"
"6058","320.36557","320.36557","320.36557"
"6075","344.36594","344.36594","344.36594"
"6095","427.67813","427.67813","427.67813"
"6115","411.57492","411.57492","411.57492"
"6132","517.8855","517.8855","517.8855"
"6152","453.20486","453.20486","453.20486"
"6164","296.17255","296.17255","296.17255"
"6189","605.9773","605.9773","605.9773"
"6201","505.91818","505.91818","505.91818"
"6221","313.44168","313.44168","313.44168"
"6246","400.08853","400.08853","400.08853"
"6266","184.59082","184.59082","184.59082"
"6286","514.69324","514.69324","514.69324"
"6303","464.2308","464.2308","464.2308"
"6323","311.12793","311.12793","311.12793"
"6335","450.5533","450.5533","450.5533"
"6360","687.60974","687.60974","687.60974"
"6380","749.6554","749.6554","749.6554"
"6392","342.56454","342.56454","342.56454"
"6417","326.03513","326.03513","326.03513"
"6437","694.45276","694.45276","694.45276"
"6457","540.26263","540.26263","540.26263"
"6474","534.4423","534.4423","534.4423"
"6494","536.705","536.705","536.705"
"6514","640.36743","640.36743","640.36743"
"6531","404.19458","404.19458","404.19458"
"6543","597.18494","597.18494","597.18494"
"6571","462.95297","462.95297","462.95297"
"6588","515.1101","515.1101","515.1101"
"6608","453.8009","453.8009","453.8009"
"6628","564.27765","564.27765","564.27765"
"6645","471.34818","471.34818","471.34818"
"6657","631.5292","631.5292","631.5292"
"6677","619.8846","619.8846","619.8846"
"6694","583.8712","583.8712","583.8712"
"6722","702.86487","702.86487","702.86487"
"6742","389.56165","389.56165","389.56165"
"6759","321.36667","321.36667","321.36667"
"6779","594.783","594.783","594.783"
"6799","437.93243","437.93243","437.93243"
"6816","558.35175","558.35175","558.35175"
"6836","520.67737","520.67737","520.67737"
"6856","363.06525","363.06525","363.06525"
"6865","727.0507","727.0507","727.0507"
"6893","491.67538","491.67538","491.67538"
"6913","402.02863","402.02863","402.02863"
"6930","418.18298","418.18298","418.18298"
"6950","530.73627","530.73627","530.73627"
"6970","722.4613","722.4613","722.4613"
"6979","499.5643","499.5643","499.5643"
"7007","380.60535","380.60535","380.60535"
"7027","568.62537","568.62537","568.62537"
"7044","526.3886","526.3886","526.3886"
"7064","715.15704","715.15704","715.15704"
"7084","389.6544","389.6544","389.6544"
"7101","514.1624","514.1624","514.1624"
"7121","448.933","448.933","448.933"
"7141","463.27243","463.27243","463.27243"
"7158","602.92883","602.92883","602.92883"
"7178","304.75635","304.75635","304.75635"
"7190","443.73358","443.73358","443.73358"
"7215","437.25714","437.25714","437.25714"
"7235","498.23508","498.23508","498.23508"
"7255","485.5445","485.5445","485.5445"
"7272","521.57886","521.57886","521.57886"
"7284","435.3922","435.3922","435.3922"
"7312","459.88788","459.88788","459.88788"
"7329","301.59283","301.59283","301.59283"
"7341","379.375","379.375","379.375"
"7369","509.2393","509.2393","509.2393"
"7386","417.26038","417.26038","417.26038"
"7398","493.89117","493.89117","493.89117"
"7426","474.49985","474.49985","474.49985"
"7443","419.50885","419.50885","419.50885"
"7463","460.19946","460.19946","460.19946"
"7483","683.4914","683.4914","683.4914"
"7500","242.33551","242.33551","242.33551"
"7512","536.6018","536.6018","536.6018"
"7540","494.1037","494.1037","494.1037"
"7549","557.36444","557.36444","557.36444"
"7577","548.0873","548.0873","548.0873"
"7597","529.8241","529.8241","529.8241"
"7614","658.4215","658.4215","658.4215"
"7634","506.54944","506.54944","506.54944"
"7654","377.70166","377.70166","377.70166"
"7663","694.55676","694.55676","694.55676"
"7691","508.6762","508.6762","508.6762"
"7711","526.4088","526.4088","526.4088"
"7728","499.4917","499.4917","499.4917"
"7748","682.69745","682.69745","682.69745"
"7768","710.9075","710.9075","710.9075"
"7777","317.57703","317.57703","317.57703"
"7805","586.8833","586.8833","586.8833"
"7825","546.9268","546.9268","546.9268"
"7842","587.70154","587.70154","587.70154"
"7862","465.1209","465.1209","465.1209"
"7882","506.60556","506.60556","506.60556"
"7899","544.03235","544.03235","544.03235"
"7911","559.6105","559.6105","559.6105"
"7939","286.46863","286.46863","286.46863"
"7956","559.00836","559.00836","559.00836"
"7976","350.5887","350.5887","350.5887"
"7996","466.29773","466.29773","466.29773"
"8013","360.44397","360.44397","360.44397"
"8025","518.2004","518.2004","518.2004"
"8045","677.6755","677.6755","677.6755"
"8070","319.7165","319.7165","319.7165"
"8090","473.87363","473.87363","473.87363"
"8110","634.9667","634.9667","634.9667"
"8119","428.876","428.876","428.876"
"8139","455.50592","455.50592","455.50592"
"8167","625.2945","625.2945","625.2945"
"8184","468.11136","468.11136","468.11136"
"8204","547.83527","547.83527","547.83527"
"8224","493.68198","493.68198","493.68198"
"8241","296.25565","296.25565","296.25565"
"8261","476.03677","476.03677","476.03677"
"8281","567.7528","567.7528","567.7528"
"8298","543.3695","543.3695","543.3695"
"8318","750","750","750"
"8338","746.6667","746.6667","746.6667"
"8355","585.5495","585.5495","585.5495"
"8375","608.421","608.421","608.421"
"8387","625.12195","625.12195","625.12195"
"8412","513.4728","513.4728","513.4728"
"8432","450.49603","450.49603","450.49603"
"8452","482.5316","482.5316","482.5316"
"8469","730.8147","730.8147","730.8147"
"8489","559.49866","559.49866","559.49866"
"8509","700.81744","700.81744","700.81744"
"8526","604.45447","604.45447","604.45447"
"8546","732.81805","732.81805","732.81805"
"8566","733.89703","733.89703","733.89703"
"8586","522","522","522"
"8603","735.7692","735.7692","735.7692"
"8615","622.70575","622.70575","622.70575"
"8640","683.2808","683.2808","683.2808"
"8660","580.3517","580.3517","580.3517"
"8680","638.6819","638.6819","638.6819"
"8689","650.04834","650.04834","650.04834"
"8709","741.22174","741.22174","741.22174"
"8737","722.7367","722.7367","722.7367"
"8754","586.7365","586.7365","586.7365"
"8766","478.56335","478.56335","478.56335"
"8794","471.2183","471.2183","471.2183"
"8811","496.85477","496.85477","496.85477"
"8831","624.1301","624.1301","624.1301"
"8851","568.9932","568.9932","568.9932"
"8868","539.8874","539.8874","539.8874"
"8888","528.6002","528.6002","528.6002"
"8900","557.6982","557.6982","557.6982"
"8925","355.55872","355.55872","355.55872"
"8945","544.84485","544.84485","544.84485"
"8965","718.4398","718.4398","718.4398"
