"Step","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss__MIN","Feb25_18-22-37_trpo_rover_TRPO - Loss / Policy loss__MAX"
"34","0","0","0"
"55","-1.4901163e-9","-1.4901163e-9","-1.4901163e-9"
"93","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"114","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"152","0","0","0"
"173","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"211","0","0","0"
"232","0","0","0"
"270","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"291","0","0","0"
"329","3.973643e-9","3.973643e-9","3.973643e-9"
"350","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"388","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"409","0","0","0"
"447","-4.967054e-10","-4.967054e-10","-4.967054e-10"
"468","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"506","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"527","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"565","8.940697e-9","8.940697e-9","8.940697e-9"
"586","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"624","5.960465e-9","5.960465e-9","5.960465e-9"
"645","0","0","0"
"683","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"704","-1.04308135e-8","-1.04308135e-8","-1.04308135e-8"
"742","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"763","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"801","-2.0861627e-8","-2.0861627e-8","-2.0861627e-8"
"822","1.192093e-8","1.192093e-8","1.192093e-8"
"860","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"881","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"919","9.934108e-9","9.934108e-9","9.934108e-9"
"940","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"978","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"999","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"1037","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1058","0","0","0"
"1096","4.967054e-9","4.967054e-9","4.967054e-9"
"1117","3.973643e-9","3.973643e-9","3.973643e-9"
"1155","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"1176","1.09275184e-8","1.09275184e-8","1.09275184e-8"
"1214","-8.940697e-9","-8.940697e-9","-8.940697e-9"
"1235","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"1273","8.940697e-9","8.940697e-9","8.940697e-9"
"1294","9.934108e-9","9.934108e-9","9.934108e-9"
"1332","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"1353","1.5894573e-8","1.5894573e-8","1.5894573e-8"
"1391","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"1412","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1450","0","0","0"
"1471","0","0","0"
"1509","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"1530","3.2285852e-9","3.2285852e-9","3.2285852e-9"
"1568","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"1589","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1627","0","0","0"
"1648","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1686","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"1707","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"1745","9.934108e-9","9.934108e-9","9.934108e-9"
"1766","9.934108e-9","9.934108e-9","9.934108e-9"
"1804","3.973643e-9","3.973643e-9","3.973643e-9"
"1825","-9.437403e-9","-9.437403e-9","-9.437403e-9"
"1863","9.934108e-9","9.934108e-9","9.934108e-9"
"1884","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"1922","0","0","0"
"1943","1.2914341e-8","1.2914341e-8","1.2914341e-8"
"1981","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"2002","-1.7881394e-8","-1.7881394e-8","-1.7881394e-8"
"2040","3.973643e-9","3.973643e-9","3.973643e-9"
"2061","5.960465e-9","5.960465e-9","5.960465e-9"
"2099","1.6887984e-8","1.6887984e-8","1.6887984e-8"
"2120","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"2158","-4.967054e-9","-4.967054e-9","-4.967054e-9"
"2179","-1.5894573e-8","-1.5894573e-8","-1.5894573e-8"
"2217","-1.192093e-8","-1.192093e-8","-1.192093e-8"
"2238","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"2276","-1.2914341e-8","-1.2914341e-8","-1.2914341e-8"
"2297","-1.0679166e-8","-1.0679166e-8","-1.0679166e-8"
"2335","1.9868216e-9","1.9868216e-9","1.9868216e-9"
"2356","-2.9802325e-9","-2.9802325e-9","-2.9802325e-9"
"2394","5.960465e-9","5.960465e-9","5.960465e-9"
"2415","-1.3907751e-8","-1.3907751e-8","-1.3907751e-8"
"2453","-5.960465e-9","-5.960465e-9","-5.960465e-9"
"2474","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"2512","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"2533","-1.8874806e-8","-1.8874806e-8","-1.8874806e-8"
"2571","-1.4901161e-8","-1.4901161e-8","-1.4901161e-8"
"2592","-1.7384689e-9","-1.7384689e-9","-1.7384689e-9"
"2630","0","0","0"
"2651","-1.6887984e-8","-1.6887984e-8","-1.6887984e-8"
"2689","-1.9868216e-8","-1.9868216e-8","-1.9868216e-8"
"2710","-9.437403e-9","-9.437403e-9","-9.437403e-9"
"2748","0","0","0"
"2769","7.947286e-9","7.947286e-9","7.947286e-9"
"2807","-9.934108e-9","-9.934108e-9","-9.934108e-9"
"2828","-1.9868216e-9","-1.9868216e-9","-1.9868216e-9"
"2866","-7.947286e-9","-7.947286e-9","-7.947286e-9"
"2887","-2.9802322e-8","-2.9802322e-8","-2.9802322e-8"
"2925","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"2946","6.9538757e-9","6.9538757e-9","6.9538757e-9"
"2984","-2.5828681e-8","-2.5828681e-8","-2.5828681e-8"
"3005","-3.973643e-9","-3.973643e-9","-3.973643e-9"
"3043","1.192093e-8","1.192093e-8","1.192093e-8"
"3064","3.973643e-9","3.973643e-9","3.973643e-9"
"3102","3.973643e-9","3.973643e-9","3.973643e-9"
