"Step","Feb25_23-32-25_trpo_rover_TRPO - Loss / Value loss","Feb25_23-32-25_trpo_rover_TRPO - Loss / Value loss__MIN","Feb25_23-32-25_trpo_rover_TRPO - Loss / Value loss__MAX"
"35","0.014128728","0.014128728","0.014128728"
"56","0.016643101","0.016643101","0.016643101"
"94","0.015140955","0.015140955","0.015140955"
"115","0.015475784","0.015475784","0.015475784"
"153","0.019416476","0.019416476","0.019416476"
"174","0.014150732","0.014150732","0.014150732"
"212","0.014895068","0.014895068","0.014895068"
"233","0.012820172","0.012820172","0.012820172"
"271","0.012802141","0.012802141","0.012802141"
"292","0.0201034","0.0201034","0.0201034"
"330","0.016130101","0.016130101","0.016130101"
"351","0.012632377","0.012632377","0.012632377"
"389","0.015024928","0.015024928","0.015024928"
"410","0.01678587","0.01678587","0.01678587"
"448","0.016788114","0.016788114","0.016788114"
"469","0.020715812","0.020715812","0.020715812"
"507","0.013409944","0.013409944","0.013409944"
"528","0.014642799","0.014642799","0.014642799"
"566","0.016155412","0.016155412","0.016155412"
"587","0.022267602","0.022267602","0.022267602"
"625","0.020816697","0.020816697","0.020816697"
"646","0.0155708995","0.0155708995","0.0155708995"
"684","0.019984331","0.019984331","0.019984331"
"705","0.017801711","0.017801711","0.017801711"
"743","0.012222618","0.012222618","0.012222618"
"764","0.015530742","0.015530742","0.015530742"
"802","0.017616464","0.017616464","0.017616464"
"823","0.014152308","0.014152308","0.014152308"
"861","0.016354874","0.016354874","0.016354874"
"882","0.01719032","0.01719032","0.01719032"
"920","0.024651082","0.024651082","0.024651082"
"941","0.021064468","0.021064468","0.021064468"
"979","0.018309912","0.018309912","0.018309912"
"1000","0.018760804","0.018760804","0.018760804"
"1038","0.018301034","0.018301034","0.018301034"
"1059","0.017274879","0.017274879","0.017274879"
"1097","0.019167332","0.019167332","0.019167332"
"1118","0.015939372","0.015939372","0.015939372"
"1156","0.016237635","0.016237635","0.016237635"
"1177","0.014620164","0.014620164","0.014620164"
"1215","0.015202118","0.015202118","0.015202118"
"1236","0.019367788","0.019367788","0.019367788"
"1274","0.017341271","0.017341271","0.017341271"
"1295","0.011548549","0.011548549","0.011548549"
"1333","0.0141452905","0.0141452905","0.0141452905"
"1354","0.019298904","0.019298904","0.019298904"
"1392","0.0181176","0.0181176","0.0181176"
"1413","0.016524438","0.016524438","0.016524438"
"1451","0.0164712","0.0164712","0.0164712"
"1472","0.017136723","0.017136723","0.017136723"
"1510","0.016082067","0.016082067","0.016082067"
"1531","0.016928388","0.016928388","0.016928388"
"1569","0.01479289","0.01479289","0.01479289"
"1590","0.015701963","0.015701963","0.015701963"
"1628","0.017155975","0.017155975","0.017155975"
"1649","0.019119069","0.019119069","0.019119069"
"1687","0.013780148","0.013780148","0.013780148"
"1708","0.012563721","0.012563721","0.012563721"
"1746","0.011365801","0.011365801","0.011365801"
"1767","0.013278653","0.013278653","0.013278653"
"1805","0.014564439","0.014564439","0.014564439"
"1826","0.017506775","0.017506775","0.017506775"
"1864","0.014526659","0.014526659","0.014526659"
"1885","0.014480812","0.014480812","0.014480812"
"1923","0.011144332","0.011144332","0.011144332"
"1944","0.012833578","0.012833578","0.012833578"
"1982","0.0132701425","0.0132701425","0.0132701425"
"2003","0.016857179","0.016857179","0.016857179"
"2041","0.012702131","0.012702131","0.012702131"
"2062","0.0117970705","0.0117970705","0.0117970705"
"2100","0.017419629","0.017419629","0.017419629"
"2121","0.014005345","0.014005345","0.014005345"
"2159","0.015410664","0.015410664","0.015410664"
"2180","0.01682881","0.01682881","0.01682881"
"2218","0.011101394","0.011101394","0.011101394"
"2239","0.015425422","0.015425422","0.015425422"
"2277","0.01319488","0.01319488","0.01319488"
"2298","0.015587585","0.015587585","0.015587585"
"2336","0.021660754","0.021660754","0.021660754"
"2357","0.016155887","0.016155887","0.016155887"
"2395","0.018504104","0.018504104","0.018504104"
"2416","0.015759138","0.015759138","0.015759138"
"2454","0.019246008","0.019246008","0.019246008"
"2475","0.014518064","0.014518064","0.014518064"
"2513","0.014262971","0.014262971","0.014262971"
"2534","0.01419049","0.01419049","0.01419049"
"2572","0.020702535","0.020702535","0.020702535"
"2593","0.01563863","0.01563863","0.01563863"
"2631","0.017852513","0.017852513","0.017852513"
"2652","0.01866782","0.01866782","0.01866782"
"2690","0.016105682","0.016105682","0.016105682"
"2711","0.016860733","0.016860733","0.016860733"
"2749","0.01592176","0.01592176","0.01592176"
"2770","0.0164983","0.0164983","0.0164983"
"2808","0.015659647","0.015659647","0.015659647"
"2829","0.013697603","0.013697603","0.013697603"
"2867","0.023045773","0.023045773","0.023045773"
"2888","0.016585838","0.016585838","0.016585838"
"2926","0.016239889","0.016239889","0.016239889"
"2947","0.016595637","0.016595637","0.016595637"
"2985","0.023954296","0.023954296","0.023954296"
"3006","0.016118947","0.016118947","0.016118947"
"3044","0.014638806","0.014638806","0.014638806"
"3065","0.020452384","0.020452384","0.020452384"
"3103","0.017952614","0.017952614","0.017952614"
"3124","0.01432127","0.01432127","0.01432127"
"3162","0.01138335","0.01138335","0.01138335"
"3183","0.0123761175","0.0123761175","0.0123761175"
"3221","0.017831737","0.017831737","0.017831737"
"3242","0.02152417","0.02152417","0.02152417"
"3280","0.018895755","0.018895755","0.018895755"
"3301","0.013961324","0.013961324","0.013961324"
"3339","0.016664734","0.016664734","0.016664734"
"3360","0.017566573","0.017566573","0.017566573"
"3398","0.017323077","0.017323077","0.017323077"
"3419","0.01662827","0.01662827","0.01662827"
"3457","0.015997639","0.015997639","0.015997639"
"3478","0.015586886","0.015586886","0.015586886"
"3516","0.0110892","0.0110892","0.0110892"
"3537","0.016480055","0.016480055","0.016480055"
"3575","0.023856077","0.023856077","0.023856077"
"3596","0.015907155","0.015907155","0.015907155"
"3634","0.015384344","0.015384344","0.015384344"
"3655","0.015216569","0.015216569","0.015216569"
"3693","0.020670958","0.020670958","0.020670958"
"3714","0.013651469","0.013651469","0.013651469"
"3752","0.013292595","0.013292595","0.013292595"
"3773","0.021072827","0.021072827","0.021072827"
"3811","0.018664382","0.018664382","0.018664382"
"3832","0.01568475","0.01568475","0.01568475"
"3870","0.013606349","0.013606349","0.013606349"
"3891","0.019266468","0.019266468","0.019266468"
"3929","0.01963026","0.01963026","0.01963026"
"3950","0.019573273","0.019573273","0.019573273"
"3988","0.021637937","0.021637937","0.021637937"
"4009","0.018902587","0.018902587","0.018902587"
"4047","0.01561013","0.01561013","0.01561013"
"4068","0.019418964","0.019418964","0.019418964"
"4106","0.01743902","0.01743902","0.01743902"
"4127","0.016600445","0.016600445","0.016600445"
"4165","0.021530814","0.021530814","0.021530814"
"4186","0.014712989","0.014712989","0.014712989"
"4224","0.016055176","0.016055176","0.016055176"
"4245","0.014544264","0.014544264","0.014544264"
"4283","0.017321374","0.017321374","0.017321374"
"4304","0.017199289","0.017199289","0.017199289"
"4342","0.018818107","0.018818107","0.018818107"
"4363","0.01512385","0.01512385","0.01512385"
"4401","0.016269373","0.016269373","0.016269373"
"4422","0.015997745","0.015997745","0.015997745"
"4460","0.015519409","0.015519409","0.015519409"
"4481","0.016765436","0.016765436","0.016765436"
"4519","0.013563002","0.013563002","0.013563002"
"4540","0.013418011","0.013418011","0.013418011"
"4578","0.02071578","0.02071578","0.02071578"
"4599","0.013697656","0.013697656","0.013697656"
"4637","0.016277613","0.016277613","0.016277613"
"4658","0.014007317","0.014007317","0.014007317"
"4696","0.016444733","0.016444733","0.016444733"
"4717","0.011346323","0.011346323","0.011346323"
"4755","0.01675014","0.01675014","0.01675014"
"4776","0.010846853","0.010846853","0.010846853"
"4814","0.012242546","0.012242546","0.012242546"
"4835","0.016175443","0.016175443","0.016175443"
"4873","0.015202376","0.015202376","0.015202376"
"4894","0.018514395","0.018514395","0.018514395"
"4932","0.014879332","0.014879332","0.014879332"
"4953","0.019701337","0.019701337","0.019701337"
"4991","0.02306239","0.02306239","0.02306239"
"5012","0.01305654","0.01305654","0.01305654"
"5050","0.014066138","0.014066138","0.014066138"
"5071","0.015867827","0.015867827","0.015867827"
"5109","0.01802853","0.01802853","0.01802853"
"5130","0.0177745","0.0177745","0.0177745"
"5168","0.015110983","0.015110983","0.015110983"
"5189","0.015801128","0.015801128","0.015801128"
"5227","0.017256709","0.017256709","0.017256709"
"5248","0.010713656","0.010713656","0.010713656"
"5286","0.010458804","0.010458804","0.010458804"
"5307","0.010974468","0.010974468","0.010974468"
"5345","0.019855734","0.019855734","0.019855734"
"5366","0.012595412","0.012595412","0.012595412"
"5404","0.012397641","0.012397641","0.012397641"
"5425","0.017991671","0.017991671","0.017991671"
"5463","0.0144357905","0.0144357905","0.0144357905"
"5484","0.021787709","0.021787709","0.021787709"
"5522","0.0154073145","0.0154073145","0.0154073145"
"5543","0.017357217","0.017357217","0.017357217"
"5581","0.021138057","0.021138057","0.021138057"
"5602","0.013488046","0.013488046","0.013488046"
"5640","0.013730366","0.013730366","0.013730366"
"5661","0.013786372","0.013786372","0.013786372"
"5699","0.013619553","0.013619553","0.013619553"
"5720","0.01460957","0.01460957","0.01460957"
"5758","0.014251224","0.014251224","0.014251224"
"5779","0.018846653","0.018846653","0.018846653"
"5817","0.013690893","0.013690893","0.013690893"
"5838","0.014510261","0.014510261","0.014510261"
"5876","0.016854165","0.016854165","0.016854165"
"5897","0.016818175","0.016818175","0.016818175"
"5935","0.015690815","0.015690815","0.015690815"
"5956","0.015432883","0.015432883","0.015432883"
"5994","0.012447087","0.012447087","0.012447087"
"6015","0.015962219","0.015962219","0.015962219"
"6053","0.016381497","0.016381497","0.016381497"
"6074","0.017919214","0.017919214","0.017919214"
"6112","0.015218913","0.015218913","0.015218913"
"6133","0.0115327155","0.0115327155","0.0115327155"
"6171","0.016382936","0.016382936","0.016382936"
"6192","0.008054623","0.008054623","0.008054623"
"6230","0.021923695","0.021923695","0.021923695"
"6251","0.0112515325","0.0112515325","0.0112515325"
"6289","0.012789242","0.012789242","0.012789242"
"6310","0.0140816495","0.0140816495","0.0140816495"
"6348","0.015138934","0.015138934","0.015138934"
"6369","0.010506929","0.010506929","0.010506929"
"6407","0.01637679","0.01637679","0.01637679"
"6428","0.013745238","0.013745238","0.013745238"
"6466","0.018766958","0.018766958","0.018766958"
"6487","0.019148225","0.019148225","0.019148225"
"6525","0.015165343","0.015165343","0.015165343"
"6546","0.013966725","0.013966725","0.013966725"
"6584","0.019083604","0.019083604","0.019083604"
"6605","0.013319818","0.013319818","0.013319818"
"6643","0.018312084","0.018312084","0.018312084"
"6664","0.016267603","0.016267603","0.016267603"
"6702","0.015941197","0.015941197","0.015941197"
"6723","0.016685685","0.016685685","0.016685685"
"6761","0.01495049","0.01495049","0.01495049"
"6782","0.021882208","0.021882208","0.021882208"
"6820","0.016281545","0.016281545","0.016281545"
"6841","0.020156795","0.020156795","0.020156795"
"6879","0.017723367","0.017723367","0.017723367"
"6900","0.015715294","0.015715294","0.015715294"
"6938","0.01376789","0.01376789","0.01376789"
"6959","0.017053097","0.017053097","0.017053097"
"6997","0.018379355","0.018379355","0.018379355"
"7018","0.019266944","0.019266944","0.019266944"
"7056","0.016598392","0.016598392","0.016598392"
"7077","0.016276333","0.016276333","0.016276333"
"7115","0.0144895995","0.0144895995","0.0144895995"
"7136","0.012091304","0.012091304","0.012091304"
"7174","0.019008385","0.019008385","0.019008385"
"7195","0.02032167","0.02032167","0.02032167"
"7233","0.017213214","0.017213214","0.017213214"
"7254","0.015086059","0.015086059","0.015086059"
"7292","0.011334331","0.011334331","0.011334331"
"7313","0.016166374","0.016166374","0.016166374"
"7351","0.012100479","0.012100479","0.012100479"
"7372","0.008787909","0.008787909","0.008787909"
"7410","0.012031352","0.012031352","0.012031352"
"7431","0.014138863","0.014138863","0.014138863"
"7469","0.0139567135","0.0139567135","0.0139567135"
"7490","0.013534752","0.013534752","0.013534752"
"7528","0.016966548","0.016966548","0.016966548"
"7549","0.021359196","0.021359196","0.021359196"
"7587","0.016991694","0.016991694","0.016991694"
"7608","0.016141133","0.016141133","0.016141133"
"7646","0.009597242","0.009597242","0.009597242"
"7667","0.018216405","0.018216405","0.018216405"
"7705","0.012328898","0.012328898","0.012328898"
"7726","0.018105026","0.018105026","0.018105026"
"7764","0.024965238","0.024965238","0.024965238"
"7785","0.021348085","0.021348085","0.021348085"
"7823","0.019627387","0.019627387","0.019627387"
"7844","0.0120955175","0.0120955175","0.0120955175"
"7882","0.019605283","0.019605283","0.019605283"
"7903","0.014616405","0.014616405","0.014616405"
"7941","0.016680688","0.016680688","0.016680688"
"7962","0.018981814","0.018981814","0.018981814"
"8000","0.017686997","0.017686997","0.017686997"
"8021","0.014675391","0.014675391","0.014675391"
"8059","0.016382711","0.016382711","0.016382711"
"8080","0.014876385","0.014876385","0.014876385"
"8118","0.01624438","0.01624438","0.01624438"
"8139","0.020879025","0.020879025","0.020879025"
"8177","0.016197616","0.016197616","0.016197616"
"8198","0.019139519","0.019139519","0.019139519"
"8236","0.013862394","0.013862394","0.013862394"
"8257","0.02079274","0.02079274","0.02079274"
"8295","0.02120125","0.02120125","0.02120125"
"8316","0.0125850225","0.0125850225","0.0125850225"
"8354","0.013452344","0.013452344","0.013452344"
"8375","0.014070831","0.014070831","0.014070831"
"8413","0.017364854","0.017364854","0.017364854"
"8434","0.016541068","0.016541068","0.016541068"
"8472","0.021571986","0.021571986","0.021571986"
"8493","0.01594918","0.01594918","0.01594918"
"8531","0.01464694","0.01464694","0.01464694"
"8552","0.01729334","0.01729334","0.01729334"
"8590","0.012844634","0.012844634","0.012844634"
"8611","0.01879695","0.01879695","0.01879695"
"8649","0.020394828","0.020394828","0.020394828"
"8670","0.017348232","0.017348232","0.017348232"
"8708","0.016889086","0.016889086","0.016889086"
"8729","0.0191551","0.0191551","0.0191551"
"8767","0.0152437175","0.0152437175","0.0152437175"
"8788","0.016047124","0.016047124","0.016047124"
"8826","0.016924592","0.016924592","0.016924592"
"8847","0.013095417","0.013095417","0.013095417"
"8885","0.01658186","0.01658186","0.01658186"
"8906","0.016603112","0.016603112","0.016603112"
"8944","0.01666984","0.01666984","0.01666984"
"8965","0.02017437","0.02017437","0.02017437"
"9003","0.0148919495","0.0148919495","0.0148919495"
"9024","0.016271614","0.016271614","0.016271614"
"9062","0.017885754","0.017885754","0.017885754"
"9083","0.020257046","0.020257046","0.020257046"
"9121","0.02495301","0.02495301","0.02495301"
"9142","0.025037168","0.025037168","0.025037168"
"9180","0.017992627","0.017992627","0.017992627"
