"Step","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MIN","Feb24_22-53-44_trpo_rover_TRPO - Reward / Total reward (mean)__MAX"
"13","-1.071441","-1.071441","-1.071441"
"34","-1.6435972","-1.6435972","-1.6435972"
"51","-1.4989182","-1.4989182","-1.4989182"
"72","-2.2024262","-2.2024262","-2.2024262"
"89","-2.3788168","-2.3788168","-2.3788168"
"110","-3.2917655","-3.2917655","-3.2917655"
"131","-3.786012","-3.786012","-3.786012"
"148","-4.28686","-4.28686","-4.28686"
"169","-5.5097685","-5.5097685","-5.5097685"
"190","-4.7056966","-4.7056966","-4.7056966"
"207","-6.215369","-6.215369","-6.215369"
"228","-5.6209335","-5.6209335","-5.6209335"
"249","-6.3647943","-6.3647943","-6.3647943"
"266","-6.841714","-6.841714","-6.841714"
"287","-5.592675","-5.592675","-5.592675"
"300","-4.597912","-4.597912","-4.597912"
"317","-7.747399","-7.747399","-7.747399"
"346","-6.6785927","-6.6785927","-6.6785927"
"367","-9.21093","-9.21093","-9.21093"
"384","-4.8619194","-4.8619194","-4.8619194"
"405","-8.884139","-8.884139","-8.884139"
"426","-2.6745675","-2.6745675","-2.6745675"
"443","-4.603698","-4.603698","-4.603698"
"464","-6.371701","-6.371701","-6.371701"
"485","-5.647593","-5.647593","-5.647593"
"502","-7.8064866","-7.8064866","-7.8064866"
"523","-5.511812","-5.511812","-5.511812"
"544","-6.369177","-6.369177","-6.369177"
"561","-7.31578","-7.31578","-7.31578"
"582","-2.9240725","-2.9240725","-2.9240725"
"603","-5.982155","-5.982155","-5.982155"
"620","-5.3223033","-5.3223033","-5.3223033"
"641","-7.696477","-7.696477","-7.696477"
"654","-5.416595","-5.416595","-5.416595"
"679","-6.1216135","-6.1216135","-6.1216135"
"700","-4.343303","-4.343303","-4.343303"
"721","-5.761108","-5.761108","-5.761108"
"738","-8.507093","-8.507093","-8.507093"
